ilce_adi;mahalle_adi;tibbi_ve_aromatik_bitki_yetistiriciligi
Cihanbeyli;HODOĞLU;YOK
Cihanbeyli;KAYI;KİMYON
Cihanbeyli;KIRKIŞLA;ÇÖREKOTU
Cihanbeyli;KORKMAZLAR;ÇÖREKOTU, KİMYON
Cihanbeyli;KÜÇÜKBEŞKAVAK;KİMYON
Cihanbeyli;MUTLUKONAK;REZENE, KİMYON
Cihanbeyli;SAĞLIK;ÇÖREKOTU, KİMYON
Cihanbeyli;SIĞIRCIK;KİMYON
Cihanbeyli;TURANLAR;KİMYON
Cihanbeyli;TÜFEKÇİPINAR;KİMYON
Cihanbeyli;UZUNCAYAYLA;KİMYON
Cihanbeyli;YÜNLÜKUYU;KİMYON
Cihanbeyli;ZAFERİYE;ÇÖREKOTU, KİMYON
Cihanbeyli;GÖLYAZI;ÇÖREKOTU, KİMYON
Cihanbeyli;GÜNYÜZÜ;YOK
Cihanbeyli;İNSUYU;IHLAMUR, ÇÖREKOTU
Cihanbeyli;KANDİL;KİMYON
Cihanbeyli;KARABAĞ;YOK
Cihanbeyli;KELHASAN;ANASON
Cihanbeyli;KUŞCA;ÇÖREKOTU, KİMYON
Cihanbeyli;KÜTÜKUŞAĞI;YOK
Cihanbeyli;TAŞPINAR;YOK
Cihanbeyli;BEYLİOVA;YOK
Cihanbeyli;ÇİMEN;KİMYON
Cihanbeyli;ÇÖL;KİMYON
Cihanbeyli;DAMLAKUYU;YOK
Cihanbeyli;BULDUK;KİMYON
Cihanbeyli;BÜYÜKBEŞKAVAK;YOK
Cihanbeyli;KARATEPE;ÇÖREKOTU, KİMYON
Çumra;ARIKÖREN;ÇÖREKOTU, NANE
Çumra;DEDEMOĞLU;NANE
Çumra;TÜRKMENCAMİLİ;YOK
Çumra;A.B.HÜYÜĞÜ;NANE
Çumra;DİNEK;YOK
Çumra;İÇERİÇUMRA;YOK
Çumra;GÜVERCİNLİK;YOK
Çumra;KARKIN;YOK
Çumra;OKÇU;YOK
Çumra;YENİSU;YOK
Çumra;APA;YOK
Çumra;ABDİTOLU;YOK
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;YOK
Çumra;APASARAYCIK;YOK
Çumra;AFŞAR;YOK
Çumra;AVDUL;YOK
Çumra;BALÇIKHİSAR;YOK
Çumra;BEYLERCE;YOK
Çumra;B.AŞLAMA;YOK
Çumra;CİCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DİNLENDİK;YOK
Çumra;DİNEKSARAY;YOK
Çumra;DOĞANLI;YOK
Çumra;FETHİYE;YOK
Çumra;GÖKHÜYÜK;YOK
Çumra;ERENTEPE;KEKİK
Çumra;İNLİ;YOK
Çumra;KUZUCU;KEKİK
Çumra;KÜÇÜKKÖY;NANE
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;DAĞ ÇAYI
Çumra;T.KARAHÜYÜK;NANE
Çumra;TAŞAĞIL;YOK
Çumra;UZUNKUYU;YOK
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;YOK
Çumra;YÖRÜKCAMİLİ;LAVANTA
Çumra;ÇAYBAŞI;LAVANTA, NANE, KEKİK
Derbent;ÇİFTLİKÖZÜ;YOK
Derbent;DEĞİŞ;YOK
Derbent;TEKKE;YOK
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYİM;DAĞ ÇAYI
Derbent;SARAYPINAR;HAŞHAŞ
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;YOK
Derbent;KARALAR;YOK
Derebucak;ÇAMLIK;DAĞ ÇAYI, KEKİK
Derebucak;DURAK;YOK
Derebucak;GENCEK;NANE, KEKİK, ADA ÇAYI
Derebucak;GÖYNEM;YOK
Derebucak;PINARBAŞI;YOK
Derebucak;TAŞLIPINAR;YOK
Derebucak;TEPEARASI;YOK
Derebucak;UĞURLU;NANE, KEKİK
Doğanhisar;BAŞKÖY;YOK
Doğanhisar;YAZLICA;KEKİK, ADA ÇAYI
Doğanhisar;AYASLAR;YOK
Doğanhisar;ÇINAROBA;ÇÖREKOTU
Doğanhisar;DEŞTİĞİN;YOK
Doğanhisar;FIRINLI;KATRAN, OĞUL OTU, DAĞ ÇAYI, KEKİK, KUŞBURNU
Doğanhisar;GÜVENDİK;YOK
Doğanhisar;İLYASLAR;YOK
Doğanhisar;KARAAĞA;NANE, KEKİK
Doğanhisar;KEMER;YOK
Doğanhisar;KOÇAŞ;KİMYON
Doğanhisar;KONAKKALE;YOK
Doğanhisar;TEKKE;YOK
Doğanhisar;UNCULAR;YOK
Doğanhisar;YAZIR;YOK
Doğanhisar;YENİCE;YOK
Emirgazi;EKİZLİ;KEKİK
Emirgazi;AKMESCİT;KEKİK, KİMYON
Emirgazi;BESCİ;YOK
Emirgazi;DEMİRCİ;YOK
Emirgazi;GÖLÖREN;DAĞ ÇAYI, KEKİK
Emirgazi;IŞIKLAR;YOK
Emirgazi;KARAÖREN;YOK
Emirgazi;MEŞELİ;KEKİK
Emirgazi;ÖBEKTAŞ;YOK
Emirgazi;YAMAÇ;YOK
Ereğli;ZENGEN;YOK
Ereğli;ACIPINAR;YOK
Ereğli;ADABAĞ;NANE
Ereğli;AKHÜYÜK;YOK
Ereğli;ALHAN;YOK
Ereğli;AŞAĞI GÖNDELEN;YOK
Ereğli;AŞIKLAR;YOK
Ereğli;AZİZİYE;NANE, KİMYON
Ereğli;BAHÇELİ;YOK
Ereğli;BELCEAĞAÇ;YOK
Ereğli;BELKAYA;YOK
Ereğli;BEYKÖY;YOK
Ereğli;BEYÖREN;KEKİK
Ereğli;BULGURLUK;YOK
Ereğli;BURHANİYE;YOK
Ereğli;BÜYÜKDEDE;NANE, KEKİK, ADA ÇAYI
Ereğli;ÇAKMAK;NANE, KEKİK
Ereğli;ÇAYHAN;KİMYON
Ereğli;ÇİLLER;KİMYON
Ereğli;ÇİMENCİK;YOK
Ereğli;GAYBİ;YOK
Ereğli;GÖKÇEYAZI;NANE
Ereğli;GÖKTÖME;YOK
Ereğli;HACIMEMİŞ;YOK
Ereğli;KAMIŞLIKUYU;YOK
Ereğli;KARABURUN;YOK
Ereğli;KARGACI;NANE, KEKİK
Ereğli;KIZILGEDİK;YOK
Ereğli;KUSKUNCUK;KİMYON
Ereğli;KUTÖREN;YOK
Ereğli;KUZUKUYU;KİMYON
Ereğli;MELİCEK;YOK
Ereğli;ORHANİYE;HAŞHAŞ, ÇÖREKOTU, NANE, KİMYON
Ereğli;ÖZGÜRLER;YOK
Ereğli;PINARÖZÜ;YOK
Ereğli;SARICA;YOK
Ereğli;SARITOPALLI;NANE
Ereğli;SELVİLİ;ÇÖREKOTU, NANE
Ereğli;TAŞAĞIL;YOK
Ereğli;TAŞBUDAK;ÇÖREKOTU
Ereğli;TATLIKUYU;YOK
Ereğli;TÜRKMEN;YOK
Ereğli;ULUMEŞE;YOK
Ereğli;YAZLIK;ÇEMEN
Ereğli;YELLİCE;YOK
Ereğli;YENİKÖY;KİMYON, SUSAM
Ereğli;YILDIZLI;YOK
Ereğli;YUKARIGÖNDELEN;ÇÖREKOTU
Ereğli;HORTU;YOK
Ereğli;ACIKUYU;NANE, KEKİK, KİMYON
Güneysınır;GÜRAĞAÇ;YOK
Güneysınır;AĞAÇOBA;KEKİK, ADA ÇAYI
Güneysınır;ALANÖZÜ;YOK
Güneysınır;AVCITEPE;YOK
Güneysınır;AYDOĞMUŞ;ÇÖREKOTU
Güneysınır;HABİLLER;KEKİK
Güneysınır;KARAGÜNEY;YOK
Güneysınır;KAYAAĞZI;NANE, KEKİK
Güneysınır;KIZILÖZ;YOK
Güneysınır;KURUKAVAK;YOK
Güneysınır;MEHMET ALİ;ÇÖREKOTU
Güneysınır;ÖMEROĞLU;YOK
Güneysınır;ÖRENBOYALI;YOK
Güneysınır;SARIHACI;YOK
Hadim;AŞAĞIEŞENLER;YOK
Hadim;AŞAĞIKIZILKAYA;ÇÖREKOTU, SAFRAN
Hadim;BADEMLİ;KATRAN, KANTARON
Hadim;BAĞBAŞI;KEKİK, SUMAK
Hadim;BEYRELİ;ASPİR, IHLAMUR, ÇÖREKOTU, NANE, KUŞBURNU, PAPATYA, ADA ÇAYI, SALEP
Hadim;BOLAT;YOK
Hadim;ÇİFTEPINAR;BİBERİYE, NANE, EKİNEZYA, KEKİK
Hadim;DEDEMLİ;YOK
Hadim;DÜLGERLER;ÇÖREKOTU
Hadim;FAKILAR;YOK
Hadim;GAZİLER;YOK
Hadim;GÖYNÜKKIŞLA;NANE, KEKİK
Hadim;GÜLPINAR;KEKİK, SUMAK, KANTARON
Hadim;İĞDEÖREN;NANE, KEKİK, ADA ÇAYI
Hadim;KALINAĞIL;KANTARON, SALEP
Hadim;KAPLANLI;NANE, KEKİK, ADA ÇAYI
Hadim;GEZLEVİ;KEKİK, KUŞBURNU
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;KEKİK, KUŞBURNU, KANTARON, SALEP
Hadim;SARNIÇ;YOK
Hadim;SELAHATTİN;YOK
Hadim;UMURLAR;YOK
Hadim;YAĞCI;YOK
Hadim;YALINÇEVRE;KANTARON
Hadim;YELMEZ;YOK
Hadim;YENİKONAK;KEKİK, PAPATYA
Hadim;YUKARIEŞENLER;NANE, KEKİK
Halkapınar;İVRİZ;YOK
Halkapınar;BÜYÜKDOĞAN;YOK
Halkapınar;DEDELİ;YOK
Halkapınar;DELİMAHMUTLU;BİBERİYE, KEKİK, KUŞBURNU, PAPATYA, REZENE, ADA ÇAYI
Halkapınar;ESKİHİSAR;YOK
Halkapınar;KARAYUSUFLU;YOK
Halkapınar;KAYASARAY;NANE, KEKİK, ADA ÇAYI, KANTARON
Halkapınar;KÖRLÜ;YOK
Halkapınar;KÜSERE;YOK
Halkapınar;OSMANKÖSELİ;YOK
Halkapınar;SEYDİFAKILI;YOK
Halkapınar;YASSIKAYA;YOK
Halkapınar;YAYIKLI;YOK
Halkapınar;YEŞİLYURT;NANE, KEKİK, KUŞBURNU, ADA ÇAYI
Halkapınar;ÇAKILLAR;KEKİK, ADA ÇAYI
Hüyük;BAŞLAMIŞ;YOK
Hüyük;BUDAK;FESLEĞEN, ÇÖREKOTU, NANE, KEKİK, KUŞBURNU, PAPATYA, REZENE
Hüyük;BURUNSUZ;YOK
Hüyük;ÇAMLICA;LAVANTA
Hüyük;ÇAVUŞ;OĞUL OTU
Hüyük;ÇUKURKENT;YOK
Hüyük;DEĞİRMENALTI;YOK
Hüyük;GÖÇERİ;YOK
Hüyük;GÖRÜNMEZ;YOK
Hüyük;İLMEN;LAVANTA
Hüyük;İMRENLER;KEKİK, ADA ÇAYI
Hüyük;KIRELİ;YOK
Hüyük;KÖŞK;HAŞHAŞ
Hüyük;MUTLU;YOK
Hüyük;PINARBAŞI;YOK
Hüyük;SELKİ;YOK
Hüyük;SULUDERE;YOK
Hüyük;TOLCA;NANE, KEKİK
Hüyük;YENİCE;YOK
Ilgın;ARGITHANI;KEKİK
Ilgın;BEYKONAK;KEKİK
Ilgın;ÇAVUŞÇUGÖL;ÇÖREKOTU
Ilgın;AĞALAR;HAŞHAŞ
Ilgın;BALKI;YOK
Ilgın;BARAKMUSLU;YOK
Ilgın;BELEKLER;HAŞHAŞ, ÇÖREKOTU
Ilgın;BOĞAZKENT;HAŞHAŞ, ÇÖREKOTU, KİMYON
Ilgın;BULCUK;HAŞHAŞ
Ilgın;BÜYÜKOBA;YOK
Ilgın;ÇİĞİL;KEKİK
Ilgın;ÇATAK;HAŞHAŞ
Ilgın;ÇOBANKAYA;KİMYON
Ilgın;ÇÖMLEKCİ;KEKİK, ADA ÇAYI, KİMYON
Ilgın;DEREKÖY;YOK
Ilgın;DIĞRAK;YOK
Ilgın;DÜĞER;YOK
Ilgın;ELDEŞ;YOK
Ilgın;GEÇİT;YOK
Ilgın;GEDİKÖREN;HAŞHAŞ
Ilgın;GÖSTERE;HAŞHAŞ
Ilgın;GÖKÇEYURT;HAŞHAŞ
Ilgın;GÖLYAKA;HAŞHAŞ
Ilgın;GÖKBUDAK;HAŞHAŞ
Ilgın;GÜNEYPINAR;HAŞHAŞ
Ilgın;HARMANYAZI;HAŞHAŞ
Ilgın;İHSANİYE;HAŞHAŞ, KİMYON
Ilgın;KAPAKLI;YOK
Ilgın;KARAKÖY;ANASON, HAŞHAŞ, ÇÖREKOTU, KİMYON
Ilgın;KALEKÖY;YOK
Ilgın;MAHMUTHİSAR;HAŞHAŞ
Ilgın;MECİDİYE;HAŞHAŞ, ÇÖREKOTU
Ilgın;MİSAFİRLİ;YOK
Ilgın;OLUKPINAR;HAŞHAŞ
Ilgın;ORHANİYE;YOK
Ilgın;ORMANÖZÜ;HAŞHAŞ
Ilgın;SADIKKÖY;HAŞHAŞ
Ilgın;SEBİLLER;HAŞHAŞ
Ilgın;TEKELER;YOK
Ilgın;YUKARIÇİĞİL;YOK
Ilgın;YORAZLAR;KEKİK, ADA ÇAYI
Ilgın;ZAFERİYE;HAŞHAŞ
Ilgın;AVDAN;ANASON, KİMYON
Kadınhanı;OSMANCIK;YOK
Kadınhanı;AFŞARLI;YOK
Kadınhanı;ALABAĞ;ÇÖREKOTU, KİMYON
Kadınhanı;ATLANTI;YOK
Kadınhanı;BAKIRPINAR;KEKİK
Kadınhanı;BAŞKUYU;KİMYON
Kadınhanı;BAYRAMLI;YOK
Kadınhanı;BEYKAVAĞI;YOK
Kadınhanı;BULGURPINAR;YOK
Kadınhanı;ÇAVDAR;ÇÖREKOTU
Kadınhanı;ÇEŞMECİK;YOK
Kadınhanı;ÇUBUK;YOK
Kadınhanı;DEMİROLUK;YOK
Kadınhanı;HACIMEHMETLİ;YOK
Kadınhanı;HACIOFLAZLAR;YOK
Kadınhanı;HACIPİRLİ;YOK
Kadınhanı;KABACALI;YOK
Kadınhanı;KAMIŞLIÖZÜ;YOK
Kadınhanı;KARAHİSARLI;YOK
Kadınhanı;KARAKURTLU;YOK
Kadınhanı;KARASEVİNÇ;ÇÖREKOTU
Kadınhanı;KARAYÜRÜKLÜ;YOK
Kadınhanı;KIZILKUYU;YOK
Kadınhanı;KOLUKISA;YOK
Kadınhanı;KONURÖREN;KİMYON
Kadınhanı;KÖKEZ;YOK
Kadınhanı;KÖYLÜTOLU;YOK
Kadınhanı;KURTHASANLI;YOK
Kadınhanı;KÜÇÜKKUYU;YOK
Kadınhanı;MAHMUDİYE;ANASON, ÇÖREKOTU, KİMYON
Kadınhanı;MEYDANLI;ÇÖREKOTU
Kadınhanı;ÖRNEK;KİMYON
Kadınhanı;PİRALİ;ÇÖREKOTU
Kadınhanı;PUSAT;REZENE
Kadınhanı;SAÇIKARA;YOK
Kadınhanı;SARIKAYA;ÇÖREKOTU
Kadınhanı;SÖĞÜTÖZÜ;YOK
Kadınhanı;ŞAHÖREN;YOK
Kadınhanı;TOSUNOĞLU;YOK
Kadınhanı;YAĞLICA;YOK
Kadınhanı;YAYLAYAKA;ÇÖREKOTU
Karapınar;HOTAMIŞ;YOK
Karapınar;KESMEZ;YOK
Karapınar;AKÇAYAZI;YOK
Karapınar;AKÖREN;YOK
Karapınar;ÇİĞİL;YOK
Karapınar;HASANOBA;YOK
Karapınar;İSLİK;YOK
Karapınar;KARAKIŞLA;YOK
Karapınar;KAYACIK;YOK
Karapınar;KAYALI;YOK
Karapınar;KAZANHÜYÜĞÜ;YOK
Karapınar;KÜÇÜKAŞLAMA;YOK
Karapınar;ORTAOBA;YOK
Karapınar;OYMALI;YOK
Karapınar;SAZLIPINAR;YOK
Karapınar;YAĞMAPINAR;YOK
Karapınar;YENİKUYU;YOK
Karapınar;YEŞİLYURT;YOK
Karatay;YARMA;YOK
Karatay;ACIDORT;YOK
Karatay;AĞSAKLI;YOK
Karatay;AKBAŞ;YOK
Karatay;AKÖRENKIŞLA;YOK
Karatay;BAKIRTOLU;YOK
Karatay;BAŞGÖTÜREN;YOK
Karatay;BEŞAĞIL;YOK
Karatay;BÜYÜKBURNAK;YOK
Karatay;ÇENGİLTİ;YOK
Karatay;DİVANLAR;YOK
Karatay;ESENTEPE;YOK
Karatay;GÖÇÜ;YOK
Karatay;HAYIROĞLU MERKEZ;YOK
Karatay;İPEKLER;YOK
Karatay;İSMİL;YOK
Karatay;KARADONA;YOK
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;YOK
Karatay;KIZÖREN;YOK
Karatay;KÖSEALİ;YOK
Karatay;OBRUK;YOK
Karatay;OVAKAVAĞI;YOK
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;ÇÖREKOTU
Karatay;ŞATIR;YOK
Karatay;YAĞLIBAYAT;YOK
Karatay;YAVŞANKUYU;YOK
Karatay;YENİCE;YOK
Karatay;YENİKENT;ASPİR
Karatay;ZİNCİRLİ;YOK
Kulu;ACIKUYU;ÇÖREKOTU, KİMYON
Kulu;AĞILBAŞI;YOK
Kulu;ALTILAR;ASPİR, KİMYON
Kulu;ARŞINCA;KİMYON
Kulu;BEŞKARDEŞ;KİMYON
Kulu;BOĞAZÖREN;KİMYON
Kulu;BOZAN;KİMYON
Kulu;BURUNAĞIL;KİMYON
Kulu;CANIMANA;KİMYON
Kulu;CELEP;KİMYON
Kulu;DİPDEDE;YOK
Kulu;DOĞUTEPE;ASPİR, KİMYON
Kulu;FEVZİYE;ASPİR, KİMYON
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;KİMYON
Kulu;HİSAR;KİMYON
Kulu;KARACADAĞ;ÇÖREKOTU
Kulu;KARACADERE;KİMYON
Kulu;KIRKKUYU;KİMYON
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;ÇÖREKOTU, KİMYON
Kulu;KÖMÜŞİNİ;KİMYON
Kulu;KÖŞKER;ÇÖREKOTU, KİMYON
Kulu;SARIYAYLA;KİMYON
Kulu;SEYİTAHMETLİ;KİMYON
Kulu;SOĞUKKUYU;KİMYON
Kulu;ŞEREFLİ;KİMYON
Kulu;TAVLIÖREN;KİMYON
Kulu;ÖMERANLI;KİMYON
Kulu;TUZYAKA;ÇÖREKOTU, KİMYON
Kulu;YARAŞLI;KİMYON
Kulu;YAZIÇAYIR;KİMYON
Kulu;YEŞİLTEPE;ÇÖREKOTU, KİMYON
Kulu;YEŞİLYURT;KİMYON
Kulu;ZİNCİRLİKUYU;ÇÖREKOTU, KİMYON
Kulu;BAHADIRLI;ÇÖREKOTU
Kulu;DEĞİRMENÖZÜ;ÇÖREKOTU, KİMYON
Meram;ERENKAYA;YOK
Meram;YATAĞAN;YOK
Meram;GÖKYURT;ÇÖREKOTU, GİLABURU
Meram;BAYAT;ADA ÇAYI
Meram;BORUKTOLU;YOK
Meram;BOTSA;ASPİR, ÇÖREKOTU
Meram;ÇAYIRBAĞI;YOK
Meram;ÇOMAKLAR;YOK
Meram;ÇUKURÇİMEN;YOK
Meram;EVLİYATEKKE;ÇÖREKOTU, GİLABURU
Meram;HATUNSARAY;YOK
Meram;İKİPINAR;YOK
Meram;İLYASBABA;YOK
