ilce_adi;mahalle_adi;alternatif_yeni_urun_cesitleri_uretimi
Akşehir;YAZLA;NOHUT, ASPİR, ÇÖREKOTU
Akşehir;YENİKÖY;YOK
Akşehir;YEŞİLKÖY;YOK
Akşehir;SARAY;YOK
Altınekin;OĞUZELİ;YOK
Altınekin;AKCAŞAR;YOK
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;YOK
Altınekin;BORUKKUYU;PATATES, ÇEREZLİK KABAK, GÜL
Altınekin;HACINUMAN;ASPİR
Altınekin;KARAKAYA;YOK
Altınekin;KOÇAŞ;KİMYON
Altınekin;KOÇYAKA;YOK
Altınekin;MANTAR;YOK
Altınekin;YENİÖLMEZ;SİLAJLIK MISIR, FASULYE
Altınekin;SARNIÇ;KANOLA, ASPİR
Altınekin;TOPRAKLIK;YOK
Altınekin;YENİKUYU;KANOLA
Altınekin;YENİYAYLA;YOK
Altınekin;DEDELER;SİLAJLIK MISIR, KİNOA, ÇÖREKOTU
Altınekin;AKINCILAR;YOK
Beyşehir;ADAKÖY;ÇİLEK
Beyşehir;AĞILÖNÜ;YOK
Beyşehir;AKBURUN;YOK
Beyşehir;AKÇABELEN;ŞEKER PANCARI
Beyşehir;AVDANCIK;PATATES
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;YOK
Beyşehir;BAYAVŞAR;YOK
Beyşehir;BAYINDIR;YOK
Beyşehir;BAŞGÖZE;YOK
Beyşehir;BEKDEMİR;YOK
Beyşehir;DAMLAPINAR;KANOLA, LAVANTA
Beyşehir;DOĞANBEY;SİLAJLIK MISIR, FİĞ, KORUNGA
Beyşehir;DOĞANCIK;YOK
Beyşehir;DUMANLI;YOK
Beyşehir;EMEN;AYÇİÇEĞİ, ASPİR, HAŞHAŞ
Beyşehir;ESENCE;YOK
Beyşehir;EYLİKLER;YOK
Beyşehir;EĞİRLER;KANOLA, ASPİR
Beyşehir;FASILLAR;ASPİR, ÇÖREKOTU
Beyşehir;GÖKÇEKUYU;BEZELYE
Beyşehir;GÖKÇİMEN;YOK
Beyşehir;GÖLKAŞI;YOK
Beyşehir;GÖLYAKA;YOK
Beyşehir;GÖNEN;YOK
Beyşehir;GÖÇÜ;YOK
Beyşehir;GÜNDOĞDU;ASPİR
Beyşehir;HUĞLU;ÜZÜM, CEVİZ
Beyşehir;HÜSEYİNLER;ŞEFTALİ, KİRAZ
Beyşehir;İSAKÖY;MERCİMEK, ASPİR
Beyşehir;KARAALİ;YOK
Beyşehir;KARABAYAT;PATATES
Beyşehir;KARADİKEN;YOK
Beyşehir;KARAHİSAR;ASPİR
Beyşehir;KAYABAŞI;YOK
Beyşehir;KURUCUOVA;YOK
Beyşehir;KUŞLUCA;YOK
Beyşehir;KÜÇÜKAVŞAR;YOK
Beyşehir;MESUTLAR;ÇİLEK
Beyşehir;SADIKHACI;YOK
Beyşehir;SARIKÖY;KANOLA, ASPİR, HAŞHAŞ
Beyşehir;SEVİNDİK;YOK
Beyşehir;ŞAMLAR;BEZELYE, ASPİR
Beyşehir;ÜÇPINAR;YOK
Beyşehir;ÜSTÜNLER;BEZELYE, KİNOA, AYÇİÇEĞİ
Beyşehir;ÜZÜMLÜ;YOK
Beyşehir;YAZYURDU;YOK
Beyşehir;YENİDOĞAN;YOK
Beyşehir;YEŞİLDAĞ;YOK
Beyşehir;YUKARIESENCE;YOK
Beyşehir;YUNUSLAR;CEVİZ, ÇİLEK
Beyşehir;ÇİFTLİK;ASPİR
Beyşehir;ÇİVRİL;SARIMSAK, AHUDUDU, BÖĞÜRTLEN, KORUNGA
Beyşehir;ÇUKURAĞIL;YOK
Bozkır;ÇAĞLAYAN;YOK
Bozkır;HAMZALAR;YOK
Bozkır;AKÇAPINAR;ÇİLEK
Bozkır;ARMUTLU;YOK
Bozkır;ARSLANTAŞ;YOK
Bozkır;AYDINKIŞLA;YOK
Bozkır;AYVALCA;ÇİLEK
Bozkır;BAĞYURDU;YOK
Bozkır;BAYBAĞAN;YOK
Bozkır;BOZDAM;YOK
Bozkır;DEREİÇİ;CEVİZ, BADEM
Bozkır;DEREKÖY;YOK
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;YOK
Bozkır;HACIYUNUSLAR;YOK
Bozkır;HARMANPINAR;YOK
Bozkır;HİSARLIK;GOJİ BERRY, ÇİLEK
Bozkır;IŞIKLAR;YOK
Bozkır;KARABAYIR;YOK
Bozkır;KARACAARDIÇ;YOK
Bozkır;KARACAHİSAR;YOK
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;YOK
Bozkır;KAYAPINAR;KİRAZ
Bozkır;KINIK;YOK
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;LAVANTA, GÜL
Bozkır;KOVANLIK;YOK
Bozkır;KOZAĞAÇ;YOK
Bozkır;KUŞÇA;YOK
Bozkır;KÜÇÜKHİSARLIK;YOK
Bozkır;PINARCIK;YOK
Bozkır;SARIOĞLAN;ÇİLEK
Bozkır;SAZLI;ÇİLEK, AHUDUDU
Bozkır;SOĞUCAK;YOK
Bozkır;SORKUN;ÇİLEK
Bozkır;SÖĞÜT;YOK
Bozkır;TARLABAŞI;YOK
Bozkır;TAŞBAŞI;YOK
Bozkır;TEPEARASI;YOK
Bozkır;TEPELİCE;YOK
Bozkır;ULUPINAR;YOK
Bozkır;ÜÇPINAR;YOK
Bozkır;YALNIZCA;YOK
Bozkır;YAZDAMI;YOK
Bozkır;YELBEYİ;YOK
Bozkır;YENİKÖY;YOK
Bozkır;YOLÖREN;YOK
Çeltik;GÖKPINAR;ÇÖREKOTU
Çeltik;ADAKASIM;REZENE
Çeltik;DOĞANYURT;ASPİR
Çeltik;KAŞÖREN;REZENE, KANOLA
Çeltik;KÜÇÜKHASAN;REZENE, ASPİR
Çeltik;TORUNLAR;KANOLA
Çeltik;İSHAKUŞAĞI;REZENE
Çeltik;HONAMLI;YOK
Cihanbeyli;BÖĞRÜDELİK;NOHUT, KİMYON, ASPİR
Cihanbeyli;YAPALI;YOK
Cihanbeyli;YENİCEOBA;NOHUT, FASULYE
Cihanbeyli;CUMHURİYET;YOK
Cihanbeyli;GEMECİK;ÇİLEK
Cihanbeyli;GÖKTEPE;ASPİR
Cihanbeyli;AĞABEYLİ;YOK
Cihanbeyli;HODOĞLU;YOK
Cihanbeyli;KAYI;FİĞ, ASPİR
Cihanbeyli;KIRKIŞLA;YOK
Cihanbeyli;KORKMAZLAR;KİMYON, ASPİR
Cihanbeyli;KÜÇÜKBEŞKAVAK;YOK
Cihanbeyli;MUTLUKONAK;YOK
Cihanbeyli;SAĞLIK;NOHUT, MERCİMEK
Cihanbeyli;SIĞIRCIK;AYÇİÇEĞİ
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇİPINAR;KANOLA, ASPİR
Cihanbeyli;UZUNCAYAYLA;ASPİR
Cihanbeyli;YÜNLÜKUYU;ASPİR
Cihanbeyli;ZAFERİYE;ASPİR
Cihanbeyli;GÖLYAZI;ASPİR
Cihanbeyli;GÜNYÜZÜ;YOK
Cihanbeyli;İNSUYU;YOK
Cihanbeyli;KANDİL;YOK
Cihanbeyli;KARABAĞ;YOK
Cihanbeyli;KELHASAN;ANASON, ASPİR
Cihanbeyli;KUŞCA;ASPİR
Cihanbeyli;KÜTÜKUŞAĞI;KANOLA, ASPİR
Cihanbeyli;TAŞPINAR;YOK
Cihanbeyli;BEYLİOVA;KANOLA, ASPİR
Cihanbeyli;ÇİMEN;YOK
Cihanbeyli;ÇÖL;YOK
Cihanbeyli;DAMLAKUYU;ASPİR
Cihanbeyli;BULDUK;KANOLA, ASPİR
Cihanbeyli;BÜYÜKBEŞKAVAK;YOK
Cihanbeyli;KARATEPE;MERCİMEK
Çumra;ARIKÖREN;YOK
Çumra;DEDEMOĞLU;YOK
Çumra;TÜRKMENCAMİLİ;YOK
Çumra;A.B.HÜYÜĞÜ;ÇİLEK, KANOLA
Çumra;DİNEK;YOK
Çumra;İÇERİÇUMRA;YOK
Çumra;GÜVERCİNLİK;FİĞ, AYÇİÇEĞİ
Çumra;KARKIN;KANOLA
Çumra;OKÇU;AYÇİÇEĞİ
Çumra;YENİSU;YOK
Çumra;APA;YOK
Çumra;ABDİTOLU;FİĞ
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;KANOLA, ASPİR
Çumra;APASARAYCIK;YOK
Çumra;AFŞAR;YOK
Çumra;AVDUL;YOK
Çumra;BALÇIKHİSAR;KANOLA
Çumra;BEYLERCE;FİĞ
Çumra;B.AŞLAMA;KANOLA
Çumra;CİCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DİNLENDİK;YOK
Çumra;DİNEKSARAY;YOK
Çumra;DOĞANLI;YOK
Çumra;FETHİYE;YOK
Çumra;GÖKHÜYÜK;YOK
Çumra;ERENTEPE;YOK
Çumra;İNLİ;YOK
Çumra;KUZUCU;ASPİR
Çumra;KÜÇÜKKÖY;KANOLA
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;FİĞ, KANOLA
Çumra;TAŞAĞIL;YOK
Çumra;UZUNKUYU;KİMYON
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;YOK
Çumra;YÖRÜKCAMİLİ;YOK
Çumra;ÇAYBAŞI;YOK
Derbent;ÇİFTLİKÖZÜ;YOK
Derbent;DEĞİŞ;YOK
Derbent;TEKKE;YOK
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYİM;FASULYE
Derbent;SARAYPINAR;YOK
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;FİĞ, ÇİLEK
Derbent;KARALAR;ÇİLEK, BÖĞÜRTLEN
Derebucak;ÇAMLIK;YOK
Derebucak;DURAK;YOK
Derebucak;GENCEK;KİNOA
Derebucak;GÖYNEM;ASPİR
Derebucak;PINARBAŞI;YOK
Derebucak;TAŞLIPINAR;YOK
Derebucak;TEPEARASI;ASPİR
Derebucak;UĞURLU;YOK
Doğanhisar;BAŞKÖY;SİLAJLIK MISIR, ASPİR
Doğanhisar;YAZLICA;ÜZÜM, ÇİLEK
Doğanhisar;AYASLAR;CEVİZ, ŞEFTALİ
Doğanhisar;ÇINAROBA;AYÇİÇEĞİ, ASPİR
Doğanhisar;DEŞTİĞİN;BÖĞÜRTLEN
Doğanhisar;FIRINLI;KANOLA
Doğanhisar;GÜVENDİK;YOK
Doğanhisar;İLYASLAR;YOK
Doğanhisar;KARAAĞA;CEVİZ, ÇİLEK
Doğanhisar;KEMER;YOK
Doğanhisar;KOÇAŞ;YOK
Doğanhisar;KONAKKALE;YOK
Doğanhisar;TEKKE;YOK
Doğanhisar;UNCULAR;YOK
Doğanhisar;YAZIR;KANOLA, HAŞHAŞ
Doğanhisar;YENİCE;ÇİLEK, ASPİR
Emirgazi;EKİZLİ;KÜLTÜR MANTARI
Emirgazi;AKMESCİT;NOHUT, MERCİMEK
Emirgazi;BESCİ;TRİTİKALE
Emirgazi;DEMİRCİ;YOK
Emirgazi;GÖLÖREN;YOK
Emirgazi;IŞIKLAR;YOK
Emirgazi;KARAÖREN;YOK
Emirgazi;MEŞELİ;YOK
Emirgazi;ÖBEKTAŞ;YOK
Emirgazi;YAMAÇ;YOK
Ereğli;ZENGEN;YOK
Ereğli;ACIPINAR;YOK
Ereğli;ADABAĞ;YOK
Ereğli;AKHÜYÜK;YOK
Ereğli;ALHAN;YOK
Ereğli;AŞAĞI GÖNDELEN;YOK
Ereğli;AŞIKLAR;YOK
Ereğli;AZİZİYE;YOK
Ereğli;BAHÇELİ;YOK
Ereğli;BELCEAĞAÇ;YOK
Ereğli;BELKAYA;NOHUT, FİĞ
Ereğli;BEYKÖY;YOK
Ereğli;BEYÖREN;YOK
Ereğli;BULGURLUK;YOK
Ereğli;BURHANİYE;YOK
Ereğli;BÜYÜKDEDE;YOK
Ereğli;ÇAKMAK;YOK
Ereğli;ÇAYHAN;YOK
Ereğli;ÇİLLER;YOK
Ereğli;ÇİMENCİK;YOK
Ereğli;GAYBİ;KİNOA
Ereğli;GÖKÇEYAZI;YOK
Ereğli;GÖKTÖME;AYÇİÇEĞİ
Ereğli;HACIMEMİŞ;YOK
Ereğli;KAMIŞLIKUYU;YOK
Ereğli;KARABURUN;YOK
Ereğli;KARGACI;YOK
Ereğli;KIZILGEDİK;YOK
Ereğli;KUSKUNCUK;YOK
Ereğli;KUTÖREN;YOK
Ereğli;KUZUKUYU;PATATES
Ereğli;MELİCEK;SİLAJLIK MISIR, FİĞ
Ereğli;ORHANİYE;YOK
Ereğli;ÖZGÜRLER;YOK
Ereğli;PINARÖZÜ;AYÇİÇEĞİ
Ereğli;SARICA;YOK
Ereğli;SARITOPALLI;YOK
Ereğli;SELVİLİ;YOK
Ereğli;TAŞAĞIL;YOK
Ereğli;TAŞBUDAK;YOK
Ereğli;TATLIKUYU;FİĞ, AYÇİÇEĞİ
Ereğli;TÜRKMEN;YOK
Ereğli;ULUMEŞE;ALTIN ÇİLEK
Ereğli;YAZLIK;SİLAJLIK MISIR
Ereğli;YELLİCE;YOK
Ereğli;YENİKÖY;YOK
Ereğli;YILDIZLI;JAPON ARMUDU
Ereğli;YUKARIGÖNDELEN;ÇÖREKOTU
Ereğli;HORTU;YOK
Ereğli;ACIKUYU;NOHUT, FASULYE, AYÇİÇEĞİ
Güneysınır;GÜRAĞAÇ;YOK
Güneysınır;AĞAÇOBA;YOK
Güneysınır;ALANÖZÜ;YOK
Güneysınır;AVCITEPE;YOK
Güneysınır;AYDOĞMUŞ;YOK
Güneysınır;HABİLLER;GOJİ BERRY, ÇİLEK
Güneysınır;KARAGÜNEY;YOK
Güneysınır;KAYAAĞZI;YOK
Güneysınır;KIZILÖZ;YOK
Güneysınır;KURUKAVAK;YOK
Güneysınır;MEHMET ALİ;FASULYE, ÇÖREKOTU
Güneysınır;ÖMEROĞLU;YOK
Güneysınır;ÖRENBOYALI;YOK
Güneysınır;SARIHACI;ÇİLEK
Hadim;AŞAĞIEŞENLER;YOK
Hadim;AŞAĞIKIZILKAYA;SAFRAN
Hadim;BADEMLİ;CEVİZ
Hadim;BAĞBAŞI;YOK
Hadim;BEYRELİ;ÇİLEK
Hadim;BOLAT;ÇİLEK
Hadim;ÇİFTEPINAR;YOK
Hadim;DEDEMLİ;YOK
Hadim;DÜLGERLER;SARIMSAK, AYÇİÇEĞİ, ÇÖREKOTU
Hadim;FAKILAR;YOK
Hadim;GAZİLER;YOK
Hadim;GÖYNÜKKIŞLA;YOK
Hadim;GÜLPINAR;YOK
Hadim;İĞDEÖREN;YOK
Hadim;KALINAĞIL;YOK
Hadim;KAPLANLI;YOK
Hadim;GEZLEVİ;YOK
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;YOK
Hadim;SARNIÇ;YOK
Hadim;SELAHATTİN;YOK
Hadim;UMURLAR;CEVİZ
Hadim;YAĞCI;GOJİ BERRY
Hadim;YALINÇEVRE;GOJİ BERRY
Hadim;YELMEZ;YOK
Hadim;YENİKONAK;CEVİZ
Hadim;YUKARIEŞENLER;YOK
Halkapınar;İVRİZ;YOK
Halkapınar;BÜYÜKDOĞAN;YOK
Halkapınar;DEDELİ;YOK
Halkapınar;DELİMAHMUTLU;YOK
Halkapınar;ESKİHİSAR;YOK
Halkapınar;KARAYUSUFLU;YOK
Halkapınar;KAYASARAY;YOK
Halkapınar;KÖRLÜ;YOK
Halkapınar;KÜSERE;YOK
Halkapınar;OSMANKÖSELİ;ÇİLEK
Halkapınar;SEYDİFAKILI;YOK
Halkapınar;YASSIKAYA;KİRAZ
Halkapınar;YAYIKLI;MISIR, ÇİLEK
Halkapınar;YEŞİLYURT;TRİTİKALE
Halkapınar;ÇAKILLAR;YOK
Hüyük;BAŞLAMIŞ;YOK
Hüyük;BUDAK;FASULYE, AHUDUDU, BÖĞÜRTLEN
Hüyük;BURUNSUZ;CEVİZ
Hüyük;ÇAMLICA;YOK
Hüyük;ÇAVUŞ;ÜZÜM
Hüyük;ÇUKURKENT;ÇİLEK
Hüyük;DEĞİRMENALTI;AHUDUDU
Hüyük;GÖÇERİ;YOK
Hüyük;GÖRÜNMEZ;ASPİR
Hüyük;İLMEN;AHUDUDU
Hüyük;İMRENLER;MERCİMEK, ÇİLEK, KANOLA, AHUDUDU, ASPİR
Hüyük;KIRELİ;LAVANTA, LALE
Hüyük;KÖŞK;CEVİZ, KANOLA
Hüyük;MUTLU;CEVİZ
Hüyük;PINARBAŞI;YOK
Hüyük;SELKİ;SİLAJLIK MISIR, ÇİLEK, YONCA
Hüyük;SULUDERE;YOK
Hüyük;TOLCA;YOK
Hüyük;YENİCE;AHUDUDU, BÖĞÜRTLEN
Ilgın;ARGITHANI;ÇÖREKOTU
Ilgın;BEYKONAK;YOK
Ilgın;ÇAVUŞÇUGÖL;PATATES, ASPİR, ÇÖREKOTU, ÇEREZLİK KABAK
Ilgın;AĞALAR;SİLAJLIK MISIR, FİĞ
Ilgın;BALKI;YOK
Ilgın;BARAKMUSLU;YOK
Ilgın;BELEKLER;YOK
Ilgın;BOĞAZKENT;KİMYON, ASPİR
Ilgın;BULCUK;CEVİZ, VİŞNE
Ilgın;BÜYÜKOBA;ŞEKER PANCARI
Ilgın;ÇİĞİL;BÖĞÜRTLEN
Ilgın;ÇATAK;YOK
Ilgın;ÇOBANKAYA;KİMYON
Ilgın;ÇÖMLEKCİ;KİMYON, ASPİR
Ilgın;DEREKÖY;YOK
Ilgın;DIĞRAK;YOK
Ilgın;DÜĞER;YOK
Ilgın;ELDEŞ;YOK
Ilgın;GEÇİT;AYÇİÇEĞİ, ASPİR
Ilgın;GEDİKÖREN;YOK
Ilgın;GÖSTERE;YOK
Ilgın;GÖKÇEYURT;ÇİLEK
Ilgın;GÖLYAKA;TRİTİKALE
Ilgın;GÖKBUDAK;ÇİLEK
Ilgın;GÜNEYPINAR;YOK
Ilgın;HARMANYAZI;MERCİMEK, ASPİR
Ilgın;İHSANİYE;NOHUT
Ilgın;KAPAKLI;YOK
Ilgın;KARAKÖY;ÇÖREKOTU
Ilgın;KALEKÖY;YOK
Ilgın;MAHMUTHİSAR;AYÇİÇEĞİ
Ilgın;MECİDİYE;FİĞ, ASPİR, ÇÖREKOTU
Ilgın;MİSAFİRLİ;YOK
Ilgın;OLUKPINAR;YOK
Ilgın;ORHANİYE;FİĞ, ÇÖREKOTU
Ilgın;ORMANÖZÜ;YOK
Ilgın;SADIKKÖY;YOK
Ilgın;SEBİLLER;YOK
Ilgın;TEKELER;BADEM
Ilgın;YUKARIÇİĞİL;PATATES, FASULYE
Ilgın;YORAZLAR;YOK
Ilgın;ZAFERİYE;YOK
Ilgın;AVDAN;KİRAZ, AHUDUDU, ASPİR, BÖĞÜRTLEN
Kadınhanı;OSMANCIK;YOK
Kadınhanı;AFŞARLI;YOK
Kadınhanı;ALABAĞ;YOK
Kadınhanı;ATLANTI;YOK
Kadınhanı;BAKIRPINAR;YOK
Kadınhanı;BAŞKUYU;YOK
Kadınhanı;BAYRAMLI;SİLAJLIK MISIR
Kadınhanı;BEYKAVAĞI;YOK
Kadınhanı;BULGURPINAR;YOK
Kadınhanı;ÇAVDAR;YOK
Kadınhanı;ÇEŞMECİK;YOK
Kadınhanı;ÇUBUK;YOK
Kadınhanı;DEMİROLUK;YOK
Kadınhanı;HACIMEHMETLİ;YOK
Kadınhanı;HACIOFLAZLAR;YOK
Kadınhanı;HACIPİRLİ;YOK
Kadınhanı;KABACALI;YOK
Kadınhanı;KAMIŞLIÖZÜ;YOK
Kadınhanı;KARAHİSARLI;YOK
Kadınhanı;KARAKURTLU;YOK
Kadınhanı;KARASEVİNÇ;YOK
Kadınhanı;KARAYÜRÜKLÜ;YOK
Kadınhanı;KIZILKUYU;YOK
Kadınhanı;KOLUKISA;YOK
Kadınhanı;KONURÖREN;KİMYON, ASPİR
Kadınhanı;KÖKEZ;YOK
Kadınhanı;KÖYLÜTOLU;YOK
Kadınhanı;KURTHASANLI;YOK
Kadınhanı;KÜÇÜKKUYU;YOK
Kadınhanı;MAHMUDİYE;ANASON, ÇÖREKOTU
Kadınhanı;MEYDANLI;YOK
Kadınhanı;ÖRNEK;YOK
Kadınhanı;PİRALİ;YOK
Kadınhanı;PUSAT;YOK
Kadınhanı;SAÇIKARA;YOK
Kadınhanı;SARIKAYA;YOK
Kadınhanı;SÖĞÜTÖZÜ;YOK
Kadınhanı;ŞAHÖREN;YOK
Kadınhanı;TOSUNOĞLU;YOK
Kadınhanı;YAĞLICA;YOK
Kadınhanı;YAYLAYAKA;YOK
Karapınar;HOTAMIŞ;YOK
Karapınar;KESMEZ;YOK
Karapınar;AKÇAYAZI;YOK
Karapınar;AKÖREN;YOK
Karapınar;ÇİĞİL;KANOLA
Karapınar;HASANOBA;YOK
Karapınar;İSLİK;YOK
Karapınar;KARAKIŞLA;PATATES
Karapınar;KAYACIK;YOK
Karapınar;KAYALI;YOK
Karapınar;KAZANHÜYÜĞÜ;AYÇİÇEĞİ
Karapınar;KÜÇÜKAŞLAMA;YOK
Karapınar;ORTAOBA;YOK
Karapınar;OYMALI;YOK
Karapınar;SAZLIPINAR;SARIMSAK
Karapınar;YAĞMAPINAR;YOK
Karapınar;YENİKUYU;YOK
Karapınar;YEŞİLYURT;YOK
Karatay;YARMA;PATATES, KANOLA
Karatay;ACIDORT;YOK
Karatay;AĞSAKLI;SİLAJLIK MISIR
Karatay;AKBAŞ;KANOLA
Karatay;AKÖRENKIŞLA;ASPİR
Karatay;BAKIRTOLU;YOK
Karatay;BAŞGÖTÜREN;YOK
Karatay;BEŞAĞIL;FASULYE
Karatay;BÜYÜKBURNAK;SİLAJLIK MISIR
Karatay;ÇENGİLTİ;KİNOA
Karatay;DİVANLAR;YOK
Karatay;ESENTEPE;SİLAJLIK MISIR
Karatay;GÖÇÜ;YOK
Karatay;HAYIROĞLU MERKEZ;KANOLA
Karatay;İPEKLER;YOK
Karatay;İSMİL;YOK
Karatay;KARADONA;YOK
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;YEM BEZELYESİ, KANOLA, YONCA
Karatay;KIZÖREN;KANOLA
Karatay;KÖSEALİ;SARIMSAK
Karatay;OBRUK;FASULYE
Karatay;OVAKAVAĞI;YOK
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;ASPİR, ÇÖREKOTU
Karatay;ŞATIR;YOK
Karatay;YAĞLIBAYAT;YOK
Karatay;YAVŞANKUYU;YOK
Karatay;YENİCE;YOK
Karatay;YENİKENT;BEZELYE, ASPİR
Karatay;ZİNCİRLİ;YOK
Kulu;ACIKUYU;KİMYON, ASPİR
Kulu;AĞILBAŞI;YOK
Kulu;ALTILAR;ASPİR
Kulu;ARŞINCA;KANOLA, ASPİR
Kulu;BEŞKARDEŞ;YOK
Kulu;BOĞAZÖREN;YOK
Kulu;BOZAN;MERCİMEK
Kulu;BURUNAĞIL;YOK
Kulu;CANIMANA;NOHUT
Kulu;CELEP;YOK
Kulu;DİPDEDE;YOK
Kulu;DOĞUTEPE;YOK
Kulu;FEVZİYE;ASPİR
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;YOK
Kulu;HİSAR;YOK
Kulu;KARACADAĞ;FİĞ, ASPİR, ÇÖREKOTU
Kulu;KARACADERE;FİĞ
Kulu;KIRKKUYU;KİNOA
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;FİĞ, MISIR
Kulu;KÖMÜŞİNİ;ASPİR
Kulu;KÖŞKER;YOK
Kulu;SARIYAYLA;YOK
Kulu;SEYİTAHMETLİ;YOK
Kulu;SOĞUKKUYU;YOK
Kulu;ŞEREFLİ;YOK
Kulu;TAVLIÖREN;YOK
Kulu;ÖMERANLI;YOK
Kulu;TUZYAKA;ÇİLEK, ASPİR
Kulu;YARAŞLI;YOK
Kulu;YAZIÇAYIR;ASPİR
Kulu;YEŞİLTEPE;YOK
Kulu;YEŞİLYURT;YOK
Kulu;ZİNCİRLİKUYU;NOHUT, FİĞ, ÇÖREKOTU
Kulu;BAHADIRLI;MISIR, AYÇİÇEĞİ, ÇÖREKOTU
Kulu;DEĞİRMENÖZÜ;ÇÖREKOTU
Meram;ERENKAYA;YOK
Meram;YATAĞAN;YOK
Meram;GÖKYURT;AHUDUDU, SUSAM, ALTIN ÇİLEK, BÖĞÜRTLEN, ÇÖREKOTU
Meram;BAYAT;YOK
Meram;BORUKTOLU;YOK
Meram;BOTSA;ÇİLEK
Meram;ÇAYIRBAĞI;YOK
Meram;ÇOMAKLAR;KİMYON, BÖĞÜRTLEN, ÇÖREKOTU
Meram;ÇUKURÇİMEN;YOK
Meram;EVLİYATEKKE;AHUDUDU, BÖĞÜRTLEN
Meram;HATUNSARAY;GOJİ BERRY, BARBUNYA
Meram;İKİPINAR;YOK
Meram;İLYASBABA;BÖĞÜRTLEN
Meram;İNLİCE;YOK
Meram;KARAAĞAÇ;ASPİR
Meram;KAVAK;SİLAJLIK MISIR
Meram;KAYADİBİ;YOK
Meram;KAYALI;YOK
Meram;KAYHÜYÜK;YOK
Meram;KIZILÖREN;ÇİLEK
Meram;KUMRALI;ÇİLEK
Meram;SADIKLAR;YOK
Meram;SAĞLIK;ÇİLEK
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;ÇİLEK
Meram;YEŞİLDERE;ÇİLEK
Meram;YEŞİLTEKKE;YOK
Meram;KAŞINHANI;YOK
Sarayönü;LADİK;NOHUT, SİLAJLIK MISIR, FASULYE, ASPİR
Sarayönü;BAHÇESARAY;YOK
Sarayönü;BAŞHÜYÜK;ASPİR
