ilce_adi;mahalle_adi;endemik_(sadece_bu_bolgede_yetisen)_bitkiler
Çumra;DİNEK;YOK
Çumra;İÇERİÇUMRA;YOK
Çumra;GÜVERCİNLİK;YOK
Çumra;KARKIN;YOK
Çumra;OKÇU;YOK
Çumra;YENİSU;YOK
Çumra;APA;YOK
Çumra;ABDİTOLU;YOK
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;YOK
Çumra;APASARAYCIK;YOK
Çumra;AFŞAR;YOK
Çumra;AVDUL;YOK
Çumra;BALÇIKHİSAR;YOK
Çumra;BEYLERCE;YOK
Çumra;B.AŞLAMA;YOK
Çumra;CİCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DİNLENDİK;YOK
Çumra;DİNEKSARAY;YOK
Çumra;DOĞANLI;YOK
Çumra;FETHİYE;YOK
Çumra;GÖKHÜYÜK;YOK
Çumra;ERENTEPE;YOK
Çumra;İNLİ;YOK
Çumra;KUZUCU;YOK
Çumra;KÜÇÜKKÖY;YOK
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;YOK
Çumra;TAŞAĞIL;YOK
Çumra;UZUNKUYU;YOK
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;YOK
Çumra;YÖRÜKCAMİLİ;YOK
Çumra;ÇAYBAŞI;YOK
Derbent;ÇİFTLİKÖZÜ;YOK
Derbent;DEĞİŞ;YOK
Derbent;TEKKE;YOK
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYİM;YOK
Derbent;SARAYPINAR;YOK
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;YOK
Derbent;KARALAR;YOK
Derebucak;ÇAMLIK;YOK
Derebucak;DURAK;YOK
Derebucak;GENCEK;YOK
Derebucak;GÖYNEM;YOK
Derebucak;PINARBAŞI;YOK
Derebucak;TAŞLIPINAR;YOK
Derebucak;TEPEARASI;YOK
Derebucak;UĞURLU;YOK
Doğanhisar;BAŞKÖY;YOK
Doğanhisar;YAZLICA;YOK
Doğanhisar;AYASLAR;YOK
Doğanhisar;ÇINAROBA;YOK
Doğanhisar;DEŞTİĞİN;YOK
Doğanhisar;FIRINLI;YOK
Doğanhisar;GÜVENDİK;YOK
Doğanhisar;İLYASLAR;YOK
Doğanhisar;KARAAĞA;YOK
Doğanhisar;KEMER;YOK
Doğanhisar;KOÇAŞ;YOK
Doğanhisar;KONAKKALE;YOK
Doğanhisar;TEKKE;YOK
Doğanhisar;UNCULAR;YOK
Doğanhisar;YAZIR;YOK
Doğanhisar;YENİCE;YOK
Emirgazi;EKİZLİ;YOK
Emirgazi;AKMESCİT;YOK
Emirgazi;BESCİ;YOK
Emirgazi;DEMİRCİ;YOK
Emirgazi;GÖLÖREN;YOK
Emirgazi;IŞIKLAR;YOK
Emirgazi;KARAÖREN;YOK
Emirgazi;MEŞELİ;YOK
Emirgazi;ÖBEKTAŞ;YOK
Emirgazi;YAMAÇ;YOK
Ereğli;ZENGEN;YOK
Ereğli;ACIPINAR;YOK
Ereğli;ADABAĞ;YOK
Ereğli;AKHÜYÜK;YOK
Ereğli;ALHAN;YOK
Ereğli;AŞAĞI GÖNDELEN;YOK
Ereğli;AŞIKLAR;YOK
Ereğli;AZİZİYE;YOK
Ereğli;BAHÇELİ;YOK
Ereğli;BELCEAĞAÇ;YOK
Ereğli;BELKAYA;YOK
Ereğli;BEYKÖY;YOK
Ereğli;BEYÖREN;YOK
Ereğli;BULGURLUK;YOK
Ereğli;BURHANİYE;YOK
Ereğli;BÜYÜKDEDE;YOK
Ereğli;ÇAKMAK;YOK
Ereğli;ÇAYHAN;YOK
Ereğli;ÇİLLER;YOK
Ereğli;ÇİMENCİK;YOK
Ereğli;GAYBİ;YOK
Ereğli;GÖKÇEYAZI;YOK
Ereğli;GÖKTÖME;YOK
Ereğli;HACIMEMİŞ;YOK
Ereğli;KAMIŞLIKUYU;YOK
Ereğli;KARABURUN;YOK
Ereğli;KARGACI;YOK
Ereğli;KIZILGEDİK;YOK
Ereğli;KUSKUNCUK;YOK
Ereğli;KUTÖREN;YOK
Ereğli;KUZUKUYU;YOK
Ereğli;MELİCEK;YOK
Ereğli;ORHANİYE;YOK
Ereğli;ÖZGÜRLER;YOK
Ereğli;PINARÖZÜ;YOK
Ereğli;SARICA;YOK
Ereğli;SARITOPALLI;YOK
Ereğli;SELVİLİ;YOK
Ereğli;TAŞAĞIL;YOK
Ereğli;TAŞBUDAK;YOK
Ereğli;TATLIKUYU;YOK
Ereğli;TÜRKMEN;YOK
Ereğli;ULUMEŞE;YOK
Ereğli;YAZLIK;YOK
Ereğli;YELLİCE;YOK
Ereğli;YENİKÖY;YOK
Ereğli;YILDIZLI;YOK
Ereğli;YUKARIGÖNDELEN;YOK
Ereğli;HORTU;YOK
Ereğli;ACIKUYU;YOK
Güneysınır;GÜRAĞAÇ;YOK
Güneysınır;AĞAÇOBA;YOK
Güneysınır;ALANÖZÜ;YOK
Güneysınır;AVCITEPE;YOK
Güneysınır;AYDOĞMUŞ;YOK
Güneysınır;HABİLLER;YOK
Güneysınır;KARAGÜNEY;YOK
Güneysınır;KAYAAĞZI;YOK
Güneysınır;KIZILÖZ;YOK
Güneysınır;KURUKAVAK;YOK
Güneysınır;MEHMET ALİ;YOK
Güneysınır;ÖMEROĞLU;YOK
Güneysınır;ÖRENBOYALI;YOK
Güneysınır;SARIHACI;YOK
Hadim;AŞAĞIEŞENLER;YOK
Hadim;AŞAĞIKIZILKAYA;YOK
Hadim;BADEMLİ;YOK
Hadim;BAĞBAŞI;YOK
Hadim;BEYRELİ;YOK
Hadim;BOLAT;YOK
Hadim;ÇİFTEPINAR;YOK
Hadim;DEDEMLİ;YOK
Hadim;DÜLGERLER;YOK
Hadim;FAKILAR;YOK
Hadim;GAZİLER;YOK
Hadim;GÖYNÜKKIŞLA;YOK
Hadim;GÜLPINAR;YOK
Hadim;İĞDEÖREN;YOK
Hadim;KALINAĞIL;ERENLER ÇİÇEĞİ
Hadim;KAPLANLI;YOK
Hadim;GEZLEVİ;YOK
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;YOK
Hadim;SARNIÇ;YOK
Hadim;SELAHATTİN;YOK
Hadim;UMURLAR;YOK
Hadim;YAĞCI;YOK
Hadim;YALINÇEVRE;YOK
Hadim;YELMEZ;YOK
Hadim;YENİKONAK;YOK
Hadim;YUKARIEŞENLER;YOK
Halkapınar;İVRİZ;YOK
Halkapınar;BÜYÜKDOĞAN;YOK
Halkapınar;DEDELİ;YOK
Halkapınar;DELİMAHMUTLU;YOK
Halkapınar;ESKİHİSAR;YOK
Halkapınar;KARAYUSUFLU;YOK
Halkapınar;KAYASARAY;YOK
Halkapınar;KÖRLÜ;YOK
Halkapınar;KÜSERE;YOK
Halkapınar;OSMANKÖSELİ;KONGUR, HASRET GÜLÜ, TERS LALE
Halkapınar;SEYDİFAKILI;YOK
Halkapınar;YASSIKAYA;YOK
Halkapınar;YAYIKLI;YOK
Halkapınar;YEŞİLYURT;YOK
Halkapınar;ÇAKILLAR;YOK
Hüyük;BAŞLAMIŞ;YOK
Hüyük;BUDAK;YOK
Hüyük;BURUNSUZ;YOK
Hüyük;ÇAMLICA;YOK
Hüyük;ÇAVUŞ;YOK
Hüyük;ÇUKURKENT;YOK
Hüyük;DEĞİRMENALTI;YOK
Hüyük;GÖÇERİ;YOK
Hüyük;GÖRÜNMEZ;YOK
Hüyük;İLMEN;YOK
Hüyük;İMRENLER;YOK
Hüyük;KIRELİ;YOK
Hüyük;KÖŞK;YOK
Hüyük;MUTLU;YOK
Hüyük;PINARBAŞI;YOK
Hüyük;SELKİ;YOK
Hüyük;SULUDERE;YOK
Hüyük;TOLCA;YOK
Hüyük;YENİCE;YOK
Ilgın;ARGITHANI;YOK
Ilgın;BEYKONAK;YOK
Ilgın;ÇAVUŞÇUGÖL;YOK
Ilgın;AĞALAR;YOK
Ilgın;BALKI;YOK
Ilgın;BARAKMUSLU;YOK
Ilgın;BELEKLER;YOK
Ilgın;BOĞAZKENT;YOK
Ilgın;BULCUK;YOK
Ilgın;BÜYÜKOBA;YOK
Ilgın;ÇİĞİL;YOK
Ilgın;ÇATAK;YOK
Ilgın;ÇOBANKAYA;YOK
Ilgın;ÇÖMLEKCİ;YOK
Ilgın;DEREKÖY;YOK
Ilgın;DIĞRAK;YOK
Ilgın;DÜĞER;YOK
Ilgın;ELDEŞ;YOK
Ilgın;GEÇİT;YOK
Ilgın;GEDİKÖREN;YOK
Ilgın;GÖSTERE;YOK
Ilgın;GÖKÇEYURT;YOK
Ilgın;GÖLYAKA;YOK
Ilgın;GÖKBUDAK;YOK
Ilgın;GÜNEYPINAR;YOK
Ilgın;HARMANYAZI;YOK
Ilgın;İHSANİYE;YOK
Ilgın;KAPAKLI;YOK
Ilgın;KARAKÖY;YOK
Ilgın;KALEKÖY;YOK
Ilgın;MAHMUTHİSAR;YOK
Ilgın;MECİDİYE;YOK
Ilgın;MİSAFİRLİ;YOK
Ilgın;OLUKPINAR;YOK
Ilgın;ORHANİYE;YOK
Ilgın;ORMANÖZÜ;YOK
Ilgın;SADIKKÖY;YOK
Ilgın;SEBİLLER;YOK
Ilgın;TEKELER;YOK
Ilgın;YUKARIÇİĞİL;YOK
Ilgın;YORAZLAR;YOK
Ilgın;ZAFERİYE;YOK
Ilgın;AVDAN;YOK
Kadınhanı;OSMANCIK;YOK
Kadınhanı;AFŞARLI;YOK
Kadınhanı;ALABAĞ;YOK
Kadınhanı;ATLANTI;YOK
Kadınhanı;BAKIRPINAR;YOK
Kadınhanı;BAŞKUYU;YOK
Kadınhanı;BAYRAMLI;YOK
Kadınhanı;BEYKAVAĞI;YOK
Kadınhanı;BULGURPINAR;YOK
Kadınhanı;ÇAVDAR;YOK
Kadınhanı;ÇEŞMECİK;YOK
Kadınhanı;ÇUBUK;YOK
Kadınhanı;DEMİROLUK;YOK
Kadınhanı;HACIMEHMETLİ;YOK
Kadınhanı;HACIOFLAZLAR;YOK
Kadınhanı;HACIPİRLİ;YOK
Kadınhanı;KABACALI;YOK
Kadınhanı;KAMIŞLIÖZÜ;YOK
Kadınhanı;KARAHİSARLI;YOK
Kadınhanı;KARAKURTLU;YOK
Kadınhanı;KARASEVİNÇ;YOK
Kadınhanı;KARAYÜRÜKLÜ;YOK
Kadınhanı;KIZILKUYU;YOK
Kadınhanı;KOLUKISA;YOK
Kadınhanı;KONURÖREN;YOK
Kadınhanı;KÖKEZ;YOK
Kadınhanı;KÖYLÜTOLU;YOK
Kadınhanı;KURTHASANLI;YOK
Kadınhanı;KÜÇÜKKUYU;YOK
Kadınhanı;MAHMUDİYE;YOK
Kadınhanı;MEYDANLI;YOK
Kadınhanı;ÖRNEK;YOK
Kadınhanı;PİRALİ;YOK
Kadınhanı;PUSAT;YOK
Kadınhanı;SAÇIKARA;YOK
Kadınhanı;SARIKAYA;YOK
Kadınhanı;SÖĞÜTÖZÜ;YOK
Kadınhanı;ŞAHÖREN;YOK
Kadınhanı;TOSUNOĞLU;YOK
Kadınhanı;YAĞLICA;YOK
Kadınhanı;YAYLAYAKA;YOK
Karapınar;HOTAMIŞ;YOK
Karapınar;KESMEZ;YOK
Karapınar;AKÇAYAZI;YOK
Karapınar;AKÖREN;YOK
Karapınar;ÇİĞİL;YOK
Karapınar;HASANOBA;YOK
Karapınar;İSLİK;YOK
Karapınar;KARAKIŞLA;YOK
Karapınar;KAYACIK;YOK
Karapınar;KAYALI;YOK
Karapınar;KAZANHÜYÜĞÜ;YOK
Karapınar;KÜÇÜKAŞLAMA;YOK
Karapınar;ORTAOBA;YOK
Karapınar;OYMALI;MAHMUDİYE
Karapınar;SAZLIPINAR;YOK
Karapınar;YAĞMAPINAR;YOK
Karapınar;YENİKUYU;YOK
Karapınar;YEŞİLYURT;YOK
Karatay;YARMA;YOK
Karatay;ACIDORT;YOK
Karatay;AĞSAKLI;YOK
Karatay;AKBAŞ;YOK
Karatay;AKÖRENKIŞLA;YOK
Karatay;BAKIRTOLU;YOK
Karatay;BAŞGÖTÜREN;YOK
Karatay;BEŞAĞIL;YOK
Karatay;BÜYÜKBURNAK;YOK
Karatay;ÇENGİLTİ;YOK
Karatay;DİVANLAR;YOK
Karatay;ESENTEPE;YOK
Karatay;GÖÇÜ;YOK
Karatay;HAYIROĞLU MERKEZ;YOK
Karatay;İPEKLER;YOK
Karatay;İSMİL;YOK
Karatay;KARADONA;YOK
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;YOK
Karatay;KIZÖREN;YOK
Karatay;KÖSEALİ;YOK
Karatay;OBRUK;YOK
Karatay;OVAKAVAĞI;YOK
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;YOK
Karatay;ŞATIR;YOK
Karatay;YAĞLIBAYAT;YOK
Karatay;YAVŞANKUYU;YOK
Karatay;YENİCE;YOK
Karatay;YENİKENT;YOK
Karatay;ZİNCİRLİ;YOK
Kulu;ACIKUYU;YOK
Kulu;AĞILBAŞI;YOK
Kulu;ALTILAR;YOK
Kulu;ARŞINCA;YOK
Kulu;BEŞKARDEŞ;YOK
Kulu;BOĞAZÖREN;YOK
Kulu;BOZAN;YOK
Kulu;BURUNAĞIL;YOK
Kulu;CANIMANA;YOK
Kulu;CELEP;YOK
Kulu;DİPDEDE;YOK
Kulu;DOĞUTEPE;YEPELEK
Kulu;FEVZİYE;YOK
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;YOK
Kulu;HİSAR;YOK
Kulu;KARACADAĞ;YOK
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;YOK
Kulu;KÖMÜŞİNİ;YOK
Kulu;KÖŞKER;YOK
Kulu;SARIYAYLA;YOK
Kulu;SEYİTAHMETLİ;YOK
Kulu;SOĞUKKUYU;YOK
Kulu;ŞEREFLİ;YOK
Kulu;TAVLIÖREN;YOK
Kulu;ÖMERANLI;YOK
Kulu;TUZYAKA;YOK
Kulu;YARAŞLI;YOK
Kulu;YAZIÇAYIR;YOK
Kulu;YEŞİLTEPE;YOK
Kulu;YEŞİLYURT;YOK
Kulu;ZİNCİRLİKUYU;YOK
Kulu;BAHADIRLI;YOK
Kulu;DEĞİRMENÖZÜ;YOK
Meram;ERENKAYA;YOK
Meram;YATAĞAN;YOK
Meram;GÖKYURT;YOK
Meram;BAYAT;YOK
Meram;BORUKTOLU;YOK
Meram;BOTSA;YOK
Meram;ÇAYIRBAĞI;YOK
Meram;ÇOMAKLAR;YOK
Meram;ÇUKURÇİMEN;YOK
Meram;EVLİYATEKKE;YOK
Meram;HATUNSARAY;YOK
Meram;İKİPINAR;YOK
Meram;İLYASBABA;YOK
Meram;İNLİCE;YOK
Meram;KARAAĞAÇ;YOK
Meram;KAVAK;YOK
Meram;KAYADİBİ;YOK
Meram;KAYALI;YOK
Meram;KAYHÜYÜK;YOK
Meram;KIZILÖREN;YOK
Meram;KUMRALI;YOK
Meram;SADIKLAR;YOK
Meram;SAĞLIK;YOK
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;YOK
Meram;YEŞİLDERE;YOK
Meram;YEŞİLTEKKE;YOK
Meram;KAŞINHANI;YOK
Sarayönü;LADİK;YOK
Sarayönü;BAHÇESARAY;YOK
Sarayönü;BAŞHÜYÜK;YOK
Sarayönü;BOYALI;YOK
Sarayönü;BÜYÜKZENGİ;YOK
Sarayönü;ÇEŞMELİSEBİL;YOK
Sarayönü;DEĞİRMENLİ;YOK
Sarayönü;ERTUĞRUL;YOK
Sarayönü;GÖZLÜ;YOK
Sarayönü;KADIOĞLU;YOK
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;YOK
Sarayönü;KAYIÖREN;YOK
Sarayönü;KONAR;YOK
Sarayönü;KURŞUNLU;YOK
Sarayönü;KUYULUSEBİL;YOK
Sarayönü;ÖZKENT;YOK
Sarayönü;YENİCEKAYA;YOK
Selçuklu;BAŞARAKAVAK;YOK, KONGUR
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;YOK
Selçuklu;BAĞRIKURT;YOK
Selçuklu;BİÇER;YOK
Selçuklu;ÇALDERE;YOK
Selçuklu;ÇALTI;YOK
Selçuklu;ÇANDIR;YOK
Selçuklu;DAĞDERE;YOK
Selçuklu;EĞRİBAYAT;YOK
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;YOK
Selçuklu;KARAÖMERLER;YOK
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTİN;YOK
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;YOK
Selçuklu;ULUMUHSİNE;YOK
Selçuklu;YAZIBELEN;YOK
Selçuklu;SİLLE;YOK
Selçuklu;ARDIÇLI;YOK
Selçuklu;AŞAĞIPINARBAŞI;YOK
Selçuklu;YUKARIPINARBAŞI;YOK
Selçuklu;KÜÇÜKMUHSİNE;YOK
Selçuklu;SARICALAR;YOK
Selçuklu;TÖMEK;YOK
Selçuklu;YÜKSELEN;YOK
Selçuklu;Mehmet Fatih;
Seydişehir;KESECİK;YOK
Seydişehir;AKÇALAR;YOK
Seydişehir;AŞAĞIKARAÖREN;YOK
Seydişehir;BAŞKARAÖREN;YOK
Seydişehir;BOSTANDERE;YOK
Seydişehir;BOYALI;YOK
Seydişehir;BÜKÇE;YOK
Seydişehir;ÇAT;YOK
Seydişehir;ÇATMAKAYA;YOK
Seydişehir;ÇAVUŞ;YOK
Seydişehir;DİKİLİTAŞ;YOK
Seydişehir;GEVREKLİ;YOK
Seydişehir;GÖKÇEHÜYÜK;YOK
Seydişehir;GÖKHÜYÜK;YOK
Seydişehir;GÖLYÜZÜ;YOK
Seydişehir;IRMAKLI;YOK
Seydişehir;İNCESU;YOK
Seydişehir;KARABULAK;YOK
Seydişehir;KARACAÖREN;YOK
Seydişehir;KAVAK;YOK
Seydişehir;KETENLİ;YOK
Seydişehir;KIZILCA;YOK
Seydişehir;KOZLU;YOK
Seydişehir;KUMLUCA;YOK
Seydişehir;KURAN;YOK
Seydişehir;MADENLİ;YOK
Seydişehir;MESUDİYE;YOK
Seydişehir;MURADİYE;YOK
Seydişehir;OĞLAKÇI;YOK
Seydişehir;ORTAKARAÖREN;YOK
Seydişehir;SARAYCIK;YOK
Seydişehir;SUSUZ;YOK
Seydişehir;TARAŞÇI;YOK
Seydişehir;TAŞAĞIL;YOK
Seydişehir;TEPECİK;YOK
Seydişehir;TOL;YOK
Seydişehir;UFACIK;YOK
Seydişehir;YAYLACIK;YOK
Seydişehir;YENİCE;YOK
Taşkent;AFŞAR;YOK
Taşkent;BALCILAR;YOK
Taşkent;BOLAY;YOK
