ilce_adi;mahalle_adi;konaklama_yeri
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;YOK
Altınekin;BORUKKUYU;KÖY KONAĞI
Altınekin;HACINUMAN;YOK
Altınekin;KARAKAYA;KÖY KONAĞI
Altınekin;KOÇAŞ;YOK
Altınekin;KOÇYAKA;YOK
Altınekin;MANTAR;KÖY KONAĞI
Altınekin;YENİÖLMEZ;KÖY KONAĞI
Altınekin;SARNIÇ;MİSAFİRHANE
Altınekin;TOPRAKLIK;YOK
Altınekin;YENİKUYU;KÖY KONAĞI
Altınekin;YENİYAYLA;YOK
Altınekin;DEDELER;YOK
Altınekin;AKINCILAR;YOK
Beyşehir;ADAKÖY;YOK
Beyşehir;AĞILÖNÜ;KÖY KONAĞI
Beyşehir;AKBURUN;YOK
Beyşehir;AKÇABELEN;YOK
Beyşehir;AVDANCIK;YOK
Beyşehir;BADEMLİ;KÖY KONAĞI
Beyşehir;BAYAT;KÖY KONAĞI
Beyşehir;BAYAVŞAR;YOK
Beyşehir;BAYINDIR;YOK
Beyşehir;BAŞGÖZE;KÖY KONAĞI
Beyşehir;BEKDEMİR;YOK
Beyşehir;DAMLAPINAR;KÖY KONAĞI
Beyşehir;DOĞANBEY;YOK
Beyşehir;DOĞANCIK;KÖY KONAĞI
Beyşehir;DUMANLI;MİSAFİRHANE
Beyşehir;EMEN;KÖY KONAĞI
Beyşehir;ESENCE;YOK
Beyşehir;EYLİKLER;YOK
Beyşehir;EĞİRLER;YOK
Beyşehir;FASILLAR;YOK
Beyşehir;GÖKÇEKUYU;KÖY KONAĞI
Beyşehir;GÖKÇİMEN;YOK
Beyşehir;GÖLKAŞI;YOK
Beyşehir;GÖLYAKA;YOK
Beyşehir;GÖNEN;YOK
Beyşehir;GÖÇÜ;YOK
Beyşehir;GÜNDOĞDU;YOK
Beyşehir;HUĞLU;KÖY KONAĞI
Beyşehir;HÜSEYİNLER;KÖY KONAĞI
Beyşehir;İSAKÖY;YOK
Beyşehir;KARAALİ;YOK
Beyşehir;KARABAYAT;YOK
Beyşehir;KARADİKEN;YOK
Beyşehir;KARAHİSAR;KÖY KONAĞI
Beyşehir;KAYABAŞI;YOK
Beyşehir;KURUCUOVA;YOK
Beyşehir;KUŞLUCA;YOK
Beyşehir;KÜÇÜKAVŞAR;YOK
Beyşehir;MESUTLAR;YOK
Beyşehir;SADIKHACI;KÖY ODASI
Beyşehir;SARIKÖY;YOK
Beyşehir;SEVİNDİK;YOK
Beyşehir;ŞAMLAR;YOK
Beyşehir;ÜÇPINAR;KÖY KONAĞI
Beyşehir;ÜSTÜNLER;KÖY KONAĞI
Beyşehir;ÜZÜMLÜ;YOK
Beyşehir;YAZYURDU;YOK
Beyşehir;YENİDOĞAN;YOK
Beyşehir;YEŞİLDAĞ;YOK
Beyşehir;YUKARIESENCE;YOK
Beyşehir;YUNUSLAR;YOK
Beyşehir;ÇİFTLİK;MİSAFİRHANE
Beyşehir;ÇİVRİL;YOK
Beyşehir;ÇUKURAĞIL;YOK
Bozkır;ÇAĞLAYAN;YOK
Bozkır;HAMZALAR;YOK
Bozkır;AKÇAPINAR;YOK
Bozkır;ARMUTLU;KÖY KONAĞI
Bozkır;ARSLANTAŞ;YOK
Bozkır;AYDINKIŞLA;YOK
Bozkır;AYVALCA;KÖY KONAĞI
Bozkır;BAĞYURDU;KÖY KONAĞI
Bozkır;BAYBAĞAN;KÖY ODASI
Bozkır;BOZDAM;YOK
Bozkır;DEREİÇİ;KÖY KONAĞI
Bozkır;DEREKÖY;YOK
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;KÖY KONAĞI
Bozkır;HACIYUNUSLAR;YOK
Bozkır;HARMANPINAR;YOK
Bozkır;HİSARLIK;YOK
Bozkır;IŞIKLAR;YOK
Bozkır;KARABAYIR;KÖY ODASI
Bozkır;KARACAARDIÇ;YOK
Bozkır;KARACAHİSAR;KÖY KONAĞI
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;YOK
Bozkır;KAYAPINAR;YOK
Bozkır;KINIK;YOK
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;KÖY KONAĞI
Bozkır;KOVANLIK;KÖY KONAĞI
Bozkır;KOZAĞAÇ;YOK
Bozkır;KUŞÇA;KÖY KONAĞI
Bozkır;KÜÇÜKHİSARLIK;YOK
Bozkır;PINARCIK;YOK
Bozkır;SARIOĞLAN;YOK
Bozkır;SAZLI;KÖY KONAĞI
Bozkır;SOĞUCAK;YOK
Bozkır;SORKUN;YOK
Bozkır;SÖĞÜT;YOK
Bozkır;TARLABAŞI;YOK
Bozkır;TAŞBAŞI;YOK
Bozkır;TEPEARASI;KÖY KONAĞI
Bozkır;TEPELİCE;YOK
Bozkır;ULUPINAR;KÖY KONAĞI
Bozkır;ÜÇPINAR;YOK
Bozkır;YALNIZCA;KÖY KONAĞI
Bozkır;YAZDAMI;KÖY KONAĞI
Bozkır;YELBEYİ;KÖY KONAĞI
Bozkır;YENİKÖY;YOK
Bozkır;YOLÖREN;KÖY ODASI
Çeltik;GÖKPINAR;YOK
Çeltik;ADAKASIM;KÖY KONAĞI
Çeltik;DOĞANYURT;KÖY KONAĞI
Çeltik;KAŞÖREN;KÖY KONAĞI
Çeltik;KÜÇÜKHASAN;YOK
Çeltik;TORUNLAR;YOK
Çeltik;İSHAKUŞAĞI;KÖY KONAĞI
Çeltik;HONAMLI;YOK
Cihanbeyli;BÖĞRÜDELİK;MİSAFİRHANE
Cihanbeyli;YAPALI;YOK
Cihanbeyli;YENİCEOBA;KÖY KONAĞI
Cihanbeyli;CUMHURİYET;YOK
Cihanbeyli;GEMECİK;YOK
Cihanbeyli;GÖKTEPE;YOK
Cihanbeyli;AĞABEYLİ;KÖY KONAĞI
Cihanbeyli;HODOĞLU;KÖY KONAĞI
Cihanbeyli;KAYI;KÖY KONAĞI
Cihanbeyli;KIRKIŞLA;YOK
Cihanbeyli;KORKMAZLAR;YOK
Cihanbeyli;KÜÇÜKBEŞKAVAK;KÖY KONAĞI
Cihanbeyli;MUTLUKONAK;KÖY KONAĞI
Cihanbeyli;SAĞLIK;KÖY ODASI
Cihanbeyli;SIĞIRCIK;KÖY KONAĞI
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇİPINAR;KÖY KONAĞI
Cihanbeyli;UZUNCAYAYLA;KÖY KONAĞI
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERİYE;KÖY KONAĞI
Cihanbeyli;GÖLYAZI;YOK
Cihanbeyli;GÜNYÜZÜ;KÖY KONAĞI
Cihanbeyli;İNSUYU;YOK
Cihanbeyli;KANDİL;YOK
Cihanbeyli;KARABAĞ;YOK
Cihanbeyli;KELHASAN;YOK
Cihanbeyli;KUŞCA;YOK
Cihanbeyli;KÜTÜKUŞAĞI;KÖY KONAĞI
Cihanbeyli;TAŞPINAR;MİSAFİRHANE
Cihanbeyli;BEYLİOVA;KÖY KONAĞI
Cihanbeyli;ÇİMEN;KÖY KONAĞI
Cihanbeyli;ÇÖL;YOK
Cihanbeyli;DAMLAKUYU;KÖY KONAĞI
Cihanbeyli;BULDUK;KÖY ODASI
Cihanbeyli;BÜYÜKBEŞKAVAK;YOK
Cihanbeyli;KARATEPE;KÖY ODASI
Çumra;ARIKÖREN;YOK
Çumra;DEDEMOĞLU;KÖY KONAĞI
Çumra;TÜRKMENCAMİLİ;YOK
Çumra;A.B.HÜYÜĞÜ;YOK
Çumra;DİNEK;KÖY KONAĞI
Çumra;İÇERİÇUMRA;KÖY KONAĞI
Çumra;GÜVERCİNLİK;KÖY KONAĞI
Çumra;KARKIN;YOK
Çumra;OKÇU;YOK
Çumra;YENİSU;KÖY KONAĞI
Çumra;APA;YOK
Çumra;ABDİTOLU;KÖY KONAĞI
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;YOK
Çumra;APASARAYCIK;KÖY KONAĞI
Çumra;AFŞAR;YOK
Çumra;AVDUL;KÖY KONAĞI
Çumra;BALÇIKHİSAR;KÖY KONAĞI
Çumra;BEYLERCE;YOK
Çumra;B.AŞLAMA;KÖY KONAĞI
Çumra;CİCEK;YOK
Çumra;ÇUKURKAVAK;KÖY KONAĞI
Çumra;DİNLENDİK;YOK
Çumra;DİNEKSARAY;KÖY KONAĞI
Çumra;DOĞANLI;KÖY KONAĞI
Çumra;FETHİYE;KÖY KONAĞI
Çumra;GÖKHÜYÜK;KÖY KONAĞI
Çumra;ERENTEPE;YOK
Çumra;İNLİ;YOK
Çumra;KUZUCU;KÖY KONAĞI
Çumra;KÜÇÜKKÖY;YOK
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;KÖY KONAĞI
Çumra;TAŞAĞIL;YOK
Çumra;UZUNKUYU;KÖY KONAĞI
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;KÖY KONAĞI
Çumra;YÖRÜKCAMİLİ;YOK
Çumra;ÇAYBAŞI;YOK
Derbent;ÇİFTLİKÖZÜ;KÖY KONAĞI
Derbent;DEĞİŞ;YOK
Derbent;TEKKE;KÖY KONAĞI
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYİM;YOK
Derbent;SARAYPINAR;KÖY ODASI
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;YOK
Derbent;KARALAR;KÖY KONAĞI
Derebucak;ÇAMLIK;KÖY ODASI
Derebucak;DURAK;YOK
Derebucak;GENCEK;KÖY KONAĞI
Derebucak;GÖYNEM;YOK
Derebucak;PINARBAŞI;KÖY KONAĞI
Derebucak;TAŞLIPINAR;YOK
Derebucak;TEPEARASI;KÖY KONAĞI
Derebucak;UĞURLU;KÖY KONAĞI
Doğanhisar;BAŞKÖY;YOK
Doğanhisar;YAZLICA;YOK
Doğanhisar;AYASLAR;YOK
Doğanhisar;ÇINAROBA;KÖY ODASI
Doğanhisar;DEŞTİĞİN;KÖY KONAĞI
Doğanhisar;FIRINLI;KÖY KONAĞI
Doğanhisar;GÜVENDİK;KÖY KONAĞI
Doğanhisar;İLYASLAR;KÖY ODASI
Doğanhisar;KARAAĞA;MİSAFİRHANE
Doğanhisar;KEMER;KÖY KONAĞI
Doğanhisar;KOÇAŞ;YOK
Doğanhisar;KONAKKALE;KÖY KONAĞI
Doğanhisar;TEKKE;KÖY KONAĞI
Doğanhisar;UNCULAR;YOK
Doğanhisar;YAZIR;YOK
Doğanhisar;YENİCE;YOK
Emirgazi;EKİZLİ;YOK
Emirgazi;AKMESCİT;KÖY KONAĞI
Emirgazi;BESCİ;KÖY ODASI
Emirgazi;DEMİRCİ;KÖY KONAĞI
Emirgazi;GÖLÖREN;YOK
Emirgazi;IŞIKLAR;KÖY KONAĞI
Emirgazi;KARAÖREN;YOK
Emirgazi;MEŞELİ;YOK
Emirgazi;ÖBEKTAŞ;YOK
Emirgazi;YAMAÇ;KÖY KONAĞI
Ereğli;ZENGEN;KÖY KONAĞI
Ereğli;ACIPINAR;KÖY KONAĞI
Ereğli;ADABAĞ;YOK
Ereğli;AKHÜYÜK;KÖY KONAĞI
Ereğli;ALHAN;KÖY KONAĞI
Ereğli;AŞAĞI GÖNDELEN;YOK
Ereğli;AŞIKLAR;KÖY KONAĞI
Ereğli;AZİZİYE;KÖY ODASI
Ereğli;BAHÇELİ;YOK
Ereğli;BELCEAĞAÇ;YOK
Ereğli;BELKAYA;YOK
Ereğli;BEYKÖY;YOK
Ereğli;BEYÖREN;KÖY KONAĞI
Ereğli;BULGURLUK;YOK
Ereğli;BURHANİYE;KÖY KONAĞI
Ereğli;BÜYÜKDEDE;YOK
Ereğli;ÇAKMAK;YOK
Ereğli;ÇAYHAN;YOK
Ereğli;ÇİLLER;KÖY KONAĞI
Ereğli;ÇİMENCİK;YOK
Ereğli;GAYBİ;YOK
Ereğli;GÖKÇEYAZI;YOK
Ereğli;GÖKTÖME;KÖY KONAĞI
Ereğli;HACIMEMİŞ;YOK
Ereğli;KAMIŞLIKUYU;YOK
Ereğli;KARABURUN;YOK
Ereğli;KARGACI;YOK
Ereğli;KIZILGEDİK;KÖY KONAĞI
Ereğli;KUSKUNCUK;KÖY KONAĞI
Ereğli;KUTÖREN;YOK
Ereğli;KUZUKUYU;YOK
Ereğli;MELİCEK;YOK
Ereğli;ORHANİYE;KÖY KONAĞI
Ereğli;ÖZGÜRLER;YOK
Ereğli;PINARÖZÜ;KÖY KONAĞI
Ereğli;SARICA;YOK
Ereğli;SARITOPALLI;YOK
Ereğli;SELVİLİ;YOK
Ereğli;TAŞAĞIL;KÖY KONAĞI
Ereğli;TAŞBUDAK;KÖY KONAĞI
Ereğli;TATLIKUYU;KÖY KONAĞI
Ereğli;TÜRKMEN;YOK
Ereğli;ULUMEŞE;KÖY KONAĞI
Ereğli;YAZLIK;YOK
Ereğli;YELLİCE;YOK
Ereğli;YENİKÖY;YOK
Ereğli;YILDIZLI;KÖY KONAĞI
Ereğli;YUKARIGÖNDELEN;YOK
Ereğli;HORTU;YOK
Ereğli;ACIKUYU;YOK
Güneysınır;GÜRAĞAÇ;KÖY KONAĞI
Güneysınır;AĞAÇOBA;YOK
Güneysınır;ALANÖZÜ;YOK
Güneysınır;AVCITEPE;YOK
Güneysınır;AYDOĞMUŞ;KÖY ODASI
Güneysınır;HABİLLER;KÖY KONAĞI
Güneysınır;KARAGÜNEY;YOK
Güneysınır;KAYAAĞZI;YOK
Güneysınır;KIZILÖZ;YOK
Güneysınır;KURUKAVAK;YOK
Güneysınır;MEHMET ALİ;KÖY ODASI
Güneysınır;ÖMEROĞLU;YOK
Güneysınır;ÖRENBOYALI;YOK
Güneysınır;SARIHACI;YOK
Hadim;AŞAĞIEŞENLER;KÖY ODASI
Hadim;AŞAĞIKIZILKAYA;YOK
Hadim;BADEMLİ;YOK
Hadim;BAĞBAŞI;KÖY KONAĞI
Hadim;BEYRELİ;KÖY KONAĞI
Hadim;BOLAT;MİSAFİRHANE, KÖY ODASI
Hadim;ÇİFTEPINAR;MİSAFİRHANE
Hadim;DEDEMLİ;YOK
Hadim;DÜLGERLER;KÖY ODASI
Hadim;FAKILAR;KÖY ODASI
Hadim;GAZİLER;YOK
Hadim;GÖYNÜKKIŞLA;YOK
Hadim;GÜLPINAR;YOK
Hadim;İĞDEÖREN;YOK
Hadim;KALINAĞIL;KÖY KONAĞI
Hadim;KAPLANLI;KÖY KONAĞI
Hadim;GEZLEVİ;YOK
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;KÖY ODASI
Hadim;SARNIÇ;KÖY KONAĞI, KÖY ODASI
Hadim;SELAHATTİN;YOK
Hadim;UMURLAR;YOK
Hadim;YAĞCI;KÖY ODASI
Hadim;YALINÇEVRE;YOK
Hadim;YELMEZ;YOK
Hadim;YENİKONAK;YOK
Hadim;YUKARIEŞENLER;KÖY KONAĞI
Halkapınar;İVRİZ;YOK
Halkapınar;BÜYÜKDOĞAN;YOK
Halkapınar;DEDELİ;YOK
Halkapınar;DELİMAHMUTLU;YOK
Halkapınar;ESKİHİSAR;KÖY ODASI
Halkapınar;KARAYUSUFLU;YOK
Halkapınar;KAYASARAY;KÖY KONAĞI
Halkapınar;KÖRLÜ;YOK
Halkapınar;KÜSERE;YOK
Halkapınar;OSMANKÖSELİ;KÖY KONAĞI
Halkapınar;SEYDİFAKILI;KÖY KONAĞI
Halkapınar;YASSIKAYA;YOK
Halkapınar;YAYIKLI;KÖY KONAĞI
Halkapınar;YEŞİLYURT;YOK
Halkapınar;ÇAKILLAR;MİSAFİRHANE
Hüyük;BAŞLAMIŞ;MİSAFİRHANE
Hüyük;BUDAK;KÖY ODASI
Hüyük;BURUNSUZ;YOK
Hüyük;ÇAMLICA;YOK
Hüyük;ÇAVUŞ;YOK
Hüyük;ÇUKURKENT;KÖY ODASI
Hüyük;DEĞİRMENALTI;YOK
Hüyük;GÖÇERİ;YOK
Hüyük;GÖRÜNMEZ;KÖY KONAĞI
Hüyük;İLMEN;YOK
Hüyük;İMRENLER;YOK
Hüyük;KIRELİ;MİSAFİRHANE
Hüyük;KÖŞK;YOK
Hüyük;MUTLU;KÖY ODASI
Hüyük;PINARBAŞI;KÖY ODASI
Hüyük;SELKİ;YOK
Hüyük;SULUDERE;YOK
Hüyük;TOLCA;YOK
Hüyük;YENİCE;KÖY KONAĞI
Ilgın;ARGITHANI;KÖY KONAĞI
Ilgın;BEYKONAK;KÖY ODASI
Ilgın;ÇAVUŞÇUGÖL;KÖY ODASI
Ilgın;AĞALAR;KÖY ODASI
Ilgın;BALKI;YOK
Ilgın;BARAKMUSLU;YOK
Ilgın;BELEKLER;KÖY ODASI
Ilgın;BOĞAZKENT;KÖY ODASI
Ilgın;BULCUK;KÖY KONAĞI
Ilgın;BÜYÜKOBA;KÖY ODASI
Ilgın;ÇİĞİL;YOK
Ilgın;ÇATAK;KÖY KONAĞI
Ilgın;ÇOBANKAYA;KÖY KONAĞI
Ilgın;ÇÖMLEKCİ;KÖY KONAĞI
Ilgın;DEREKÖY;KÖY KONAĞI
Ilgın;DIĞRAK;YOK
Ilgın;DÜĞER;YOK
Ilgın;ELDEŞ;YOK
Ilgın;GEÇİT;KÖY ODASI
Ilgın;GEDİKÖREN;KÖY KONAĞI
Ilgın;GÖSTERE;KÖY ODASI
Ilgın;GÖKÇEYURT;YOK
Ilgın;GÖLYAKA;KÖY ODASI
Ilgın;GÖKBUDAK;KÖY ODASI
Ilgın;GÜNEYPINAR;KÖY ODASI
Ilgın;HARMANYAZI;YOK
Ilgın;İHSANİYE;KÖY KONAĞI
Ilgın;KAPAKLI;YOK
Ilgın;KARAKÖY;YOK
Ilgın;KALEKÖY;YOK
Ilgın;MAHMUTHİSAR;KÖY KONAĞI
Ilgın;MECİDİYE;YOK
Ilgın;MİSAFİRLİ;YOK
Ilgın;OLUKPINAR;YOK
Ilgın;ORHANİYE;KÖY ODASI
Ilgın;ORMANÖZÜ;KÖY ODASI
Ilgın;SADIKKÖY;YOK
Ilgın;SEBİLLER;KÖY KONAĞI
Ilgın;TEKELER;KÖY KONAĞI
Ilgın;YUKARIÇİĞİL;KÖY ODASI
Ilgın;YORAZLAR;KÖY KONAĞI
Ilgın;ZAFERİYE;YOK
Ilgın;AVDAN;KÖY KONAĞI
Kadınhanı;OSMANCIK;KÖY ODASI
Kadınhanı;AFŞARLI;YOK
Kadınhanı;ALABAĞ;KÖY KONAĞI
Kadınhanı;ATLANTI;KÖY KONAĞI
Kadınhanı;BAKIRPINAR;YOK
Kadınhanı;BAŞKUYU;YOK
Kadınhanı;BAYRAMLI;YOK
Kadınhanı;BEYKAVAĞI;KÖY KONAĞI
Kadınhanı;BULGURPINAR;YOK
Kadınhanı;ÇAVDAR;YOK
Kadınhanı;ÇEŞMECİK;YOK
Kadınhanı;ÇUBUK;KÖY ODASI
Kadınhanı;DEMİROLUK;KÖY KONAĞI
Kadınhanı;HACIMEHMETLİ;YOK
Kadınhanı;HACIOFLAZLAR;KÖY KONAĞI
Kadınhanı;HACIPİRLİ;YOK
Kadınhanı;KABACALI;YOK
Kadınhanı;KAMIŞLIÖZÜ;KÖY KONAĞI
Kadınhanı;KARAHİSARLI;KÖY KONAĞI
Kadınhanı;KARAKURTLU;YOK
Kadınhanı;KARASEVİNÇ;YOK
Kadınhanı;KARAYÜRÜKLÜ;YOK
Kadınhanı;KIZILKUYU;YOK
Kadınhanı;KOLUKISA;YOK
Kadınhanı;KONURÖREN;YOK
Kadınhanı;KÖKEZ;KÖY KONAĞI
Kadınhanı;KÖYLÜTOLU;YOK
Kadınhanı;KURTHASANLI;YOK
Kadınhanı;KÜÇÜKKUYU;YOK
Kadınhanı;MAHMUDİYE;YOK
Kadınhanı;MEYDANLI;KÖY ODASI
Kadınhanı;ÖRNEK;YOK
Kadınhanı;PİRALİ;YOK
Kadınhanı;PUSAT;KÖY KONAĞI
Kadınhanı;SAÇIKARA;KÖY ODASI
Kadınhanı;SARIKAYA;YOK
Kadınhanı;SÖĞÜTÖZÜ;YOK
Kadınhanı;ŞAHÖREN;YOK
Kadınhanı;TOSUNOĞLU;YOK
Kadınhanı;YAĞLICA;YOK
Kadınhanı;YAYLAYAKA;YOK
Karapınar;HOTAMIŞ;KÖY ODASI
Karapınar;KESMEZ;YOK
Karapınar;AKÇAYAZI;KÖY ODASI
Karapınar;AKÖREN;YOK
Karapınar;ÇİĞİL;YOK
Karapınar;HASANOBA;KÖY KONAĞI
Karapınar;İSLİK;YOK
Karapınar;KARAKIŞLA;KÖY KONAĞI
Karapınar;KAYACIK;KÖY KONAĞI
Karapınar;KAYALI;YOK
Karapınar;KAZANHÜYÜĞÜ;KÖY KONAĞI
Karapınar;KÜÇÜKAŞLAMA;YOK
Karapınar;ORTAOBA;YOK
Karapınar;OYMALI;YOK
Karapınar;SAZLIPINAR;YOK
Karapınar;YAĞMAPINAR;YOK
Karapınar;YENİKUYU;KÖY KONAĞI
Karapınar;YEŞİLYURT;YOK
Karatay;YARMA;YOK
Karatay;ACIDORT;KÖY KONAĞI
Karatay;AĞSAKLI;KÖY KONAĞI
Karatay;AKBAŞ;KÖY KONAĞI
Karatay;AKÖRENKIŞLA;KÖY KONAĞI
Karatay;BAKIRTOLU;KÖY KONAĞI
Karatay;BAŞGÖTÜREN;YOK
Karatay;BEŞAĞIL;KÖY KONAĞI
Karatay;BÜYÜKBURNAK;YOK
Karatay;ÇENGİLTİ;YOK
Karatay;DİVANLAR;KÖY KONAĞI
Karatay;ESENTEPE;YOK
Karatay;GÖÇÜ;YOK
Karatay;HAYIROĞLU MERKEZ;YOK
Karatay;İPEKLER;YOK
Karatay;İSMİL;YOK
Karatay;KARADONA;YOK
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;YOK
Karatay;KIZÖREN;YOK
Karatay;KÖSEALİ;KÖY KONAĞI
Karatay;OBRUK;YOK
Karatay;OVAKAVAĞI;KÖY KONAĞI
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;KÖY KONAĞI
Karatay;ŞATIR;YOK
Karatay;YAĞLIBAYAT;YOK
Karatay;YAVŞANKUYU;KÖY KONAĞI
Karatay;YENİCE;YOK
Karatay;YENİKENT;KÖY KONAĞI
Karatay;ZİNCİRLİ;KÖY KONAĞI
Kulu;ACIKUYU;KÖY ODASI
Kulu;AĞILBAŞI;YOK
Kulu;ALTILAR;YOK
Kulu;ARŞINCA;YOK
Kulu;BEŞKARDEŞ;YOK
Kulu;BOĞAZÖREN;YOK
Kulu;BOZAN;YOK
Kulu;BURUNAĞIL;YOK
Kulu;CANIMANA;YOK
Kulu;CELEP;KÖY KONAĞI
Kulu;DİPDEDE;YOK
Kulu;DOĞUTEPE;YOK
Kulu;FEVZİYE;YOK
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;YOK
Kulu;HİSAR;YOK
Kulu;KARACADAĞ;KÖY ODASI
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;YOK
Kulu;KÖMÜŞİNİ;YOK
Kulu;KÖŞKER;YOK
Kulu;SARIYAYLA;KÖY ODASI
Kulu;SEYİTAHMETLİ;YOK
Kulu;SOĞUKKUYU;YOK
Kulu;ŞEREFLİ;KÖY ODASI
Kulu;TAVLIÖREN;YOK
Kulu;ÖMERANLI;YOK
Kulu;TUZYAKA;YOK
Kulu;YARAŞLI;YOK
Kulu;YAZIÇAYIR;YOK
Kulu;YEŞİLTEPE;YOK
Kulu;YEŞİLYURT;YOK
Kulu;ZİNCİRLİKUYU;YOK
Kulu;BAHADIRLI;YOK
Kulu;DEĞİRMENÖZÜ;YOK
Meram;ERENKAYA;YOK
Meram;YATAĞAN;KÖY ODASI
Meram;GÖKYURT;YOK
Meram;BAYAT;KÖY KONAĞI
Meram;BORUKTOLU;KÖY KONAĞI
Meram;BOTSA;YOK
Meram;ÇAYIRBAĞI;YOK
Meram;ÇOMAKLAR;YOK
Meram;ÇUKURÇİMEN;KÖY KONAĞI
Meram;EVLİYATEKKE;KÖY KONAĞI
Meram;HATUNSARAY;KÖY KONAĞI
Meram;İKİPINAR;KÖY ODASI
Meram;İLYASBABA;YOK
Meram;İNLİCE;KÖY KONAĞI
Meram;KARAAĞAÇ;KÖY KONAĞI
Meram;KAVAK;YOK
Meram;KAYADİBİ;KÖY KONAĞI
Meram;KAYALI;YOK
Meram;KAYHÜYÜK;KÖY KONAĞI
Meram;KIZILÖREN;KÖY KONAĞI
Meram;KUMRALI;KÖY ODASI
Meram;SADIKLAR;KÖY KONAĞI, KÖY ODASI
Meram;SAĞLIK;KÖY KONAĞI
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;YOK
Meram;YEŞİLDERE;KÖY KONAĞI
Meram;YEŞİLTEKKE;KÖY ODASI
Meram;KAŞINHANI;YOK
Sarayönü;LADİK;KÖY ODASI
Sarayönü;BAHÇESARAY;YOK
Sarayönü;BAŞHÜYÜK;KÖY KONAĞI
Sarayönü;BOYALI;KÖY ODASI
Sarayönü;BÜYÜKZENGİ;KÖY KONAĞI
Sarayönü;ÇEŞMELİSEBİL;YOK
Sarayönü;DEĞİRMENLİ;KÖY ODASI
Sarayönü;ERTUĞRUL;KÖY KONAĞI
